DAT,18-May-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JH,Evaluation of Apprenticeships Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TID,Table 1/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,BREAKS BY BREAKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BT,Base: All Respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL1,,,Current or completer,,Level,,Broad framework area,,,,,,,,,Region,,,,,,,,,Age,,,Current employment status,,,,,Recruitment status,,Duration of less than 6 months,,Duration Summary,,Duration: Detail,,,,Employer SME,
COL,,Total,Current,Completer,Level 2,Level 3,"Health, Public Services and Care","Agriculture, Horticulture and Animal Care",Engineering and Manufacturing Technologies,"Construction, Planning and the Built Environment",Information and Communication Technology,Retail and Commercial Enterprise,"Leisure, Travel and Tourism","Business, Administration and Law",Other Apprenticeship,North East,North West,Yorkshire and the Humber,East Midlands,West Midlands,East of England,London,South East,South West,Under 19,19 to 24,25+,Current Apprentice,In work,In education or training,Unemployed,Other,Already working for employer when Apprenticeship started,Recruited specifically as an Apprentice,Less than 6 months,6 months or more,Less than 1yr,1yr plus,Less than 6 months,6 months to 1 year,1 year to 3 years,3 year plus,SME,Not
UNR,Unweighted row,5000,2500,2500,3079,1921,750,347,690,525,372,780,346,1005,185,329,807,552,466,600,492,436,713,605,1902,1692,1406,2500,1984,65,183,15,2800,1804,322,4158,2051,2429,322,1729,2058,371,2237,2157
PTR,Total,469572,374992,94580,289205,180367,86141,8703,67294,43207,15925,102995,17943,122613,4751,33758,81087,54448,43132,57104,44767,38165,65121,51990,142410,160353,166809,374992,76398,2233,7069,565,291598,153122,32101,395469,210532,217038,32101,178431,180409,36629,208283,232393
ROW1,Current or completer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC,Current,374992,374992,*-,229300,145692,*73024,*6516,54310,34968,*11000,81657,14070,*95127,*4320,27409,65838,44209,34541,45310,35256,31134,51982,*39312,*108235,*119895,*146861,374992,*-,*-,*-,*-,*238321,120764,*24130,*320238,168334,*176033,*24130,144204,144860,*31174,*173303,*190975
RTV,,80%,100%,0%,79%,81%,85%,75%,81%,81%,69%,79%,78%,78%,91%,81%,81%,81%,80%,79%,79%,82%,80%,76%,76%,75%,88%,100%,0%,0%,0%,0%,82%,79%,75%,81%,80%,81%,75%,81%,80%,85%,83%,82%
PRC,Completer,94580,*-,94580,59905,34675,*13117,*2187,12984,8239,*4925,21338,3873,*27486,*431,6348,15249,10239,8591,11793,9511,7032,13139,*12678,*34174,*40457,*19948,*-,*76398,*2233,*7069,*565,*53277,32358,*7971,*75232,42198,*41005,*7971,34227,35549,*5455,*34980,*41418
RTV,,20%,0%,100%,21%,19%,15%,25%,19%,19%,31%,21%,22%,22%,9%,19%,19%,19%,20%,21%,21%,18%,20%,24%,24%,25%,12%,0%,100%,100%,100%,100%,18%,21%,25%,19%,20%,19%,25%,19%,20%,15%,17%,18%
ROW1,Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC,Level 2,289205,229300,59905,289205,*-,*41570,5738,*35506,*19443,*7514,*86727,*12192,*79352,*1163,*18744,50869,32520,26842,35952,28398,*25189,40956,*29734,*94238,*93515,101451,229300,47998,*1667,*5517,480,*183644,*90872,*27118,*233884,*158771,*102231,*27118,*131653,*94570,*7660,*123602,*146667
RTV,,62%,61%,63%,100%,0%,48%,66%,53%,45%,47%,84%,68%,65%,24%,56%,63%,60%,62%,63%,63%,66%,63%,57%,66%,58%,61%,61%,63%,75%,78%,85%,63%,59%,84%,59%,75%,47%,84%,74%,52%,21%,59%,63%
PRC,Level 3,180367,145692,34675,*-,180367,*44571,2965,*31788,*23764,*8411,*16268,*5751,*43261,*3588,*15014,30218,21928,16290,21152,16369,*12976,24165,*22256,*48172,*66837,65358,145692,28400,*566,*1551,85,*107953,*62251,*4983,*161585,*51761,*114807,*4983,*46778,*85838,*28969,*84681,*85726
RTV,,38%,39%,37%,0%,100%,52%,34%,47%,55%,53%,16%,32%,35%,76%,44%,37%,40%,38%,37%,37%,34%,37%,43%,34%,42%,39%,39%,37%,25%,22%,15%,37%,41%,16%,41%,25%,53%,16%,26%,48%,79%,41%,37%
ROW1,Broad framework area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRC,"Health, Public Services and Care",86141,*73024,*13117,*41570,*44571,86141,*-,*-,*-,*-,*-,*-,*-,*-,6465,15704,9224,*6260,11007,8467,7905,12519,8591,*15767,29893,*40481,*73024,*11312,399,979,*263,*63924,*18880,*4088,*74482,*42931,*35638,*4088,*38843,35405,*233,*45188,*38218
RTV,,18%,19%,14%,14%,25%,100%,0%,0%,0%,0%,0%,0%,0%,0%,19%,19%,17%,15%,19%,19%,21%,19%,17%,11%,19%,24%,19%,15%,18%,14%,46%,22%,12%,13%,19%,20%,16%,13%,22%,20%,1%,22%,16%
PRC,"Agriculture, Horticulture and Animal Care",8703,6516,2187,5738,2965,*-,8703,*-,*-,*-,*-,*-,*-,0,239,1133,1197,1008,944,1268,558,1186,1170,*3788,3412,*1503,6516,*1947,37,106,11,4930,3279,*108,*8242,*2127,*6224,*108,*2019,*5623,601,*6406,*1819
RTV,,2%,2%,2%,2%,2%,0%,100%,0%,0%,0%,0%,0%,0%,0%,1%,1%,2%,2%,2%,3%,1%,2%,2%,3%,2%,1%,2%,3%,2%,1%,2%,2%,2%,*%,2%,1%,3%,*%,1%,3%,2%,3%,1%
PRC,Engineering and Manufacturing Technologies,67294,54310,12984,*35506,*31788,*-,*-,67294,*-,*-,*-,*-,*-,*-,4879,13260,*9565,7316,*6105,6808,*3519,*7104,8738,*31695,22388,*13211,54310,10960,412,696,0,*24026,*40193,*3312,*59179,*10620,*51871,*3312,*7308,*32138,*19733,27801,35366
RTV,,14%,14%,14%,12%,18%,0%,0%,100%,0%,0%,0%,0%,0%,0%,14%,16%,18%,17%,11%,15%,9%,11%,17%,22%,14%,8%,14%,14%,18%,10%,0%,8%,26%,10%,15%,5%,24%,10%,4%,18%,54%,13%,15%
PRC,"Construction, Planning and the Built Environment",43207,34968,8239,*19443,*23764,*-,*-,*-,43207,*-,*-,*-,*-,*-,2589,6617,4713,3042,*3884,4167,2708,*7953,*7535,*25626,14138,*3443,34968,6944,*24,547,50,*15461,*24432,*583,*39553,*1851,*38285,*583,*1268,*24016,*14269,*29186,*10781
