October,Good,Average,Poor,Grand Total,% Good,,,November,Good,Average,Poor,Grand Total,% Good,,,December,Good,Average,Poor,Grand Total,% Good,,,Quarter,Good,Average,Poor,Grand Total,% Good
Adult Services,282,32,12,326,87%,,,Adult Services,246,25,26,297,83%,,,Adult Services,81,5,12,98,83%,,,Adult Services,609,62,50,721,84%
Animals,,,,0,-,,,Animals,1,,,1,100%,,,Animals,,,,0,-,,,Animals,1,,,1,100%
Anti Social Behaviour,,,,0,-,,,Anti Social Behaviour,,,,0,-,,,Anti Social Behaviour,1,,,1,100%,,,Anti Social Behaviour,1,,,1,100%
Assisted Travel,445,27,13,485,92%,,,Assisted Travel,477,21,22,520,92%,,,Assisted Travel,311,15,9,335,93%,,,Assisted Travel,1233,63,44,1340,92%
Barnet Homes,19,8,16,43,44%,,,Barnet Homes,17,5,11,33,52%,,,Barnet Homes,11,8,10,29,38%,,,Barnet Homes,47,21,37,105,45%
Barnet Homes  - Tenant,157,10,2,169,93%,,,Barnet Homes  - Tenant,173,9,4,186,93%,,,Barnet Homes  - Tenant,109,4,2,115,95%,,,Barnet Homes  - Tenant,439,23,8,470,93%
Barnet Homes - Being Advised By Housing Options,3,,,3,100%,,,Barnet Homes - Being Advised By Housing Options,4,,,4,100%,,,Barnet Homes - Being Advised By Housing Options,19,,2,21,90%,,,Barnet Homes - Being Advised By Housing Options,26,,2,28,93%
Barnet Homes - Homeless/Risk of Becoming Homeless,2,1,3,6,33%,,,Barnet Homes - Homeless/Risk of Becoming Homeless,5,,1,6,83%,,,Barnet Homes - Homeless/Risk of Becoming Homeless,4,,1,5,80%,,,Barnet Homes - Homeless/Risk of Becoming Homeless,11,1,5,17,65%
Barnet Homes - Leaseholder,3,1,,4,75%,,,Barnet Homes - Leaseholder,4,1,2,7,57%,,,Barnet Homes - Leaseholder,4,1,,5,80%,,,Barnet Homes - Leaseholder,11,3,2,16,69%
Barnet Homes - Living In Temporary Accommodation,3,,2,5,60%,,,Barnet Homes - Living In Temporary Accommodation,2,1,,3,67%,,,Barnet Homes - Living In Temporary Accommodation,5,,1,6,83%,,,Barnet Homes - Living In Temporary Accommodation,10,1,3,14,71%
Barnet Homes - Private Sector Landlord,9,,2,11,82%,,,Barnet Homes - Private Sector Landlord,6,,,6,100%,,,Barnet Homes - Private Sector Landlord,6,1,,7,86%,,,Barnet Homes - Private Sector Landlord,21,1,2,24,88%
Benefit Advice,213,5,6,224,95%,,,Benefit Advice,136,5,6,147,93%,,,Benefit Advice,151,1,4,156,97%,,,Benefit Advice,500,11,16,527,95%
Benefit New Claims,,,,0,-,,,Benefit New Claims,62,2,2,66,94%,,,Benefit New Claims,70,1,2,73,96%,,,Benefit New Claims,132,3,4,139,95%
Benefit Overpayments,49,1,2,52,94%,,,Benefit Overpayments,37,1,,38,97%,,,Benefit Overpayments,32,1,,33,97%,,,Benefit Overpayments,118,3,2,123,96%
Benefits,884,94,17,995,89%,,,Benefits,1524,155,33,1712,89%,,,Benefits,1316,129,35,1480,89%,,,Benefits,3724,378,85,4187,89%
Blue Badges,26,1,6,33,79%,,,Blue Badges,23,4,1,28,82%,,,Blue Badges,,,,0,-,,,Blue Badges,49,5,7,61,80%
Blue Badges or Freedom Passes,,,,0,-,,,Blue Badges or Freedom Passes,,,,0,-,,,Blue Badges or Freedom Passes,21,,3,24,88%,,,Blue Badges or Freedom Passes,21,,3,24,88%
Building Control,,,,0,-,,,Building Control,8,1,,9,89%,,,Building Control,4,,,4,100%,,,Building Control,12,1,,13,92%
Car Parking / Permits,23,12,143,178,13%,,,Car Parking / Permits,25,9,157,191,13%,,,Car Parking / Permits,31,16,112,159,19%,,,Car Parking / Permits,79,37,412,528,15%
Change of Circumstances (Ben),570,24,13,607,94%,,,Change of Circumstances (Ben),335,7,5,347,97%,,,Change of Circumstances (Ben),412,20,3,435,95%,,,Change of Circumstances (Ben),1317,51,21,1389,95%
Change of Circumstances (CT),14,2,,16,88%,,,Change of Circumstances (CT),13,1,1,15,87%,,,Change of Circumstances (CT),15,3,,18,83%,,,Change of Circumstances (CT),42,6,1,49,86%
Children's Services,62,6,36,104,60%,,,Children's Services,76,15,19,110,69%,,,Children's Services,44,15,27,86,51%,,,Children's Services,182,36,82,300,61%
Council Information,96,36,163,295,33%,,,Council Information,92,36,130,258,36%,,,Council Information,72,46,130,248,29%,,,Council Information,260,118,423,801,32%
Council Tax,1145,167,249,1561,73%,,,Council Tax,1542,209,225,1976,78%,,,Council Tax,1630,190,159,1979,82%,,,Council Tax,4317,566,633,5516,78%
Council Tax Benefits,87,4,1,92,95%,,,Council Tax Benefits,42,4,1,47,89%,,,Council Tax Benefits,58,3,2,63,92%,,,Council Tax Benefits,187,11,4,202,93%
Council Tax Enquiries,50,1,13,64,78%,,,Council Tax Enquiries,31,3,3,37,84%,,,Council Tax Enquiries,33,,1,34,97%,,,Council Tax Enquiries,114,4,17,135,84%
Directory Record ,105,24,118,247,43%,,,Directory Record ,84,22,90,196,43%,,,Directory Record ,93,30,81,204,46%,,,Directory Record ,282,76,289,647,44%
Discounts and Exemptions,15,1,1,17,88%,,,Discounts and Exemptions,11,2,,13,85%,,,Discounts and Exemptions,4,,,4,100%,,,Discounts and Exemptions,30,3,1,34,88%
Download,,,,0,-,,,Download,,,,0,-,,,Download,,,1,1,0%,,,Download,,,1,1,0%
Education,135,30,54,219,62%,,,Education,94,19,41,154,61%,,,Education,72,13,33,118,61%,,,Education,301,62,128,491,61%
Environmental Health,,,,0,-,,,Environmental Health,21,1,,22,95%,,,Environmental Health,19,1,,20,95%,,,Environmental Health,40,2,,42,95%
Environmental Services,1,1,1,3,33%,,,Environmental Services,5,,3,8,63%,,,Environmental Services,,1,,1,0%,,,Environmental Services,6,2,4,12,50%
ES General Enquiry,5,3,15,23,22%,,,ES General Enquiry,106,14,11,131,81%,,,ES General Enquiry,93,20,12,125,74%,,,ES General Enquiry,204,37,38,279,73%
