SIC 2007 codes,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
010 : DEFRA/Scottish Executive Agricultural Data,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
011 : Growing of non-perennial crops,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
012 : Growing of perennial crops,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
013 : Plant propagation,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
014 : Animal production,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
015 : Mixed farming,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
016 : Support activities to agriculture and post-harvest crop activities,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"017 : Hunting, trapping and related service activities",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
021 : Silviculture and other forestry activities,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
022 : Logging,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
023 : Gathering of wild growing non-wood products,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
024 : Support services to forestry,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
031 : Fishing,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
032 : Aquaculture,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
051 : Mining of hard coal,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
052 : Mining of lignite,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
061 : Extraction of crude petroleum,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
062 : Extraction of natural gas,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
071 : Mining of iron ores,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
072 : Mining of non-ferrous metal ores,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"081 : Quarrying of stone, sand and clay",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
089 : Mining and quarrying n.e.c.,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
091 : Support activities for petroleum and natural gas extraction,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
099 : Support activities for other mining and quarrying,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
101 : Processing and preserving of meat and production of meat products,"1,800","2,000","2,800","1,900","2,000","2,400","2,500","2,400","2,100","2,600","2,300","1,600","1,000","1,200","2,000","2,200"
"102 : Processing and preserving of fish, crustaceans and molluscs",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
103 : Processing and preserving of fruit and vegetables,"1,000","1,000","1,100","1,100","1,200","3,300","2,900","2,700","3,000","3,000","2,500","2,300","1,800","2,500","2,200","2,800"
104 : Manufacture of vegetable and animal oils and fats,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
105 : Manufacture of dairy products,"2,000","2,100","1,700","1,600","1,600","1,800","1,600","1,200","1,100","1,300","1,100",900,900,"1,000","1,300","1,400"
"106 : Manufacture of grain mill products, starches and starch products",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
107 : Manufacture of bakery and farinaceous products,"9,000","9,800","9,700","9,700","9,500","9,100","9,000","9,800","10,100","11,200","9,800","9,200","8,300","8,900","11,900","13,900"
108 : Manufacture of other food products,"5,700","6,000","6,700","7,200","7,100","5,500","5,500","5,000","5,100","5,600","4,500","6,000","6,100","7,100","7,500","8,300"
109 : Manufacture of prepared animal feeds,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
110 : Manufacture of beverages,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
120 : Manufacture of tobacco products,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
131 : Preparation and spinning of textile fibres,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
132 : Weaving of textiles,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
133 : Finishing of textiles,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
139 : Manufacture of other textiles,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"141 : Manufacture of wearing apparel, except fur apparel",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
142 : Manufacture of articles of fur,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
143 : Manufacture of knitted and crocheted apparel,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"151 : Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness;dressing and dyeing of fur",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
152 : Manufacture of footwear,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
161 : Sawmilling and planing of wood,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"162 : Manufacture of products of wood, cork, straw and plaiting materials",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
"171 : Manufacture of pulp, paper and paperboard",400,400,400,300,400,300,300,200,200,200,900,600,,700,600,100
