Table 1.2,,,,,,,,,,,,,,,,Index
"Claims issued1 in the county and magistrates' Courts, by type of claim, England and Wales, annually 2000 - 2015, quarterly Q1 2009 - Q4 2016",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Year,Quarter,Specified money claims,Personal Injury Claims,Other - unspecified money claims,Total unspecified money claims,Total money claims,,Mortgage and landlord possession claims2,Claims for return of goods,Other non-money claims3,Total non-money claims,Total claims,"Total insolvency petitions4,5",,Total proceedings started,Total completed civil proceedings in the magistrates' courts
2000,,"1,438,673",,,"113,273","1,551,946",,"262,474","14,110","114,983","391,567","1,943,513","25,076",,"1,968,589",..
2001,,"1,301,312",,,"129,380","1,430,692",,"258,257","14,563","102,125","374,945","1,805,637","26,477",,"1,832,114",..
2002,,"1,201,583",,,"142,883","1,344,466",,"257,507","11,498","129,868","398,873","1,743,339","29,556",,"1,772,895",..
2003,,"1,153,697",,,"151,204","1,304,901",,"242,492","9,748","161,742","413,982","1,718,883","30,733",,"1,749,616",..
2004,,"1,185,688",,,"143,166","1,328,854",,"251,259","8,798","134,460","394,517","1,723,371","38,279",,"1,761,650",..
2005,,"1,429,438",,,"147,120","1,576,558",,"280,422","9,079","102,835","392,336","1,968,894","51,875",,"2,020,769",..
2006,,"1,570,962",,,"145,195","1,716,157",,"289,408","9,852","100,074","399,334","2,115,491","66,966",,"2,182,457",..
2007,,"1,408,448",,,"144,128","1,552,576",,"284,782","8,430","99,024","392,236","1,944,812","66,951",,"2,011,763",..
2008,,"1,426,365",,,"160,248","1,586,613",,"290,958","8,652","107,605","407,215","1,993,828","70,272",,"2,064,100",..
2009,,"1,281,132","59,963","119,006","178,969","1,460,101",,"230,125","10,269","102,726","343,120","1,803,221","76,209",0.0,"1,879,430","64,639"
2010,,"1,040,598","84,552","106,030","190,582","1,231,180",,"210,392","8,388","100,666","319,446","1,550,626","65,919",0.0,"1,616,545","76,636"
2011,,"995,879","110,582","67,652","178,234","1,174,113",,"215,264","6,981","107,885","330,130","1,504,243","49,485",0.0,"1,553,728","79,758"
2012,,"894,822","146,644","25,943","172,587","1,067,409",,"210,876","5,930","110,015","326,821","1,394,230","38,069",0.0,"1,432,299","75,949"
2013,,"945,197","146,867","13,391","160,258","1,105,455",0.0,"224,110","5,208","110,566","339,884","1,445,339","30,508",0.0,"1,475,847","71,575"
2014 ,,"1,136,638","131,441","8,987","140,428","1,277,066",0.0,"205,928","3,673","107,929","317,530","1,594,596","25,418",0.0,"1,620,938","61,894"
