"Table 2: Verdicts returned at inquests, by sex in 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Killed unlawfully,,,Killed lawfully,,,Suicide,,,Attempted or self induced abortion,,,Death aggravated by neglect or self neglect,,,Dependence on drugs,,,Non-dependent abuse of drugs,,,Want of attention at birth,,,Deaths from industrial diseases,,,Deaths by accident (including misadventure),,,Stillborn,,,Deaths from natural causes,,,Open verdicts,,,Disasters,,,All other verdicts (including narrative verdicts),,,TOTAL (all verdicts),,,Age of deceased at death,,,,,,
Coroner's district,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,Total,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,TOTAL,Males,Females,TOTAL,0-1 years,1-14 years,"15-24 
years","25-44 
years","45-64 
years",over 65 years,age not known
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Queen's Household,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darlington and South Durham,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,25,1,26,15,9,24,0,0,0,25,18,43,8,3,11,0,0,0,4,4,8,98,35,133,4,1,12,34,14,68,0
North Durham,1,0,1,0,0,0,28,2,30,0,0,0,0,0,0,3,1,4,4,0,4,0,0,0,37,2,39,24,15,39,1,0,1,75,33,108,6,3,9,0,0,0,7,5,12,186,61,247,1,0,6,54,59,127,0
Hartlepool,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,12,0,12,9,1,10,0,0,0,5,1,6,6,1,7,0,0,0,8,2,10,44,6,50,1,0,3,15,15,16,0
North Northumberland,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,2,12,10,5,15,0,0,0,22,23,45,4,2,6,0,0,0,25,11,36,76,43,119,0,0,4,27,30,58,0
South Northumberland,0,0,0,0,0,0,10,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,18,27,45,0,0,0,18,13,31,0,0,0,0,0,0,2,0,2,52,44,96,0,0,6,21,14,55,0
Teesside,2,0,2,0,0,0,19,5,24,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,40,0,40,86,35,121,0,0,0,41,14,55,23,8,31,0,0,0,6,1,7,218,64,282,4,2,19,55,64,138,0
Gateshead and South Tyneside,1,3,4,0,0,0,8,2,10,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,36,2,38,58,23,81,0,0,0,21,20,41,9,1,10,0,0,0,7,9,16,142,60,202,4,1,25,45,45,82,0
Newcastle upon Tyne,0,0,0,0,0,0,13,5,18,0,0,0,0,0,0,1,0,1,6,0,6,0,0,0,36,4,40,43,17,60,0,0,0,69,29,98,8,0,8,0,0,0,33,26,59,209,81,290,12,11,14,49,71,133,0
North Tyneside,0,0,0,0,0,0,17,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,37,42,79,0,0,0,29,26,55,11,6,17,0,0,0,12,10,22,126,86,212,3,1,9,30,43,126,0
Sunderland,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,53,9,62,26,13,39,0,0,0,119,76,195,10,2,12,0,0,0,33,10,43,245,110,355,2,1,13,37,78,224,0
NORTH WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire,0,0,0,0,0,0,63,14,77,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,85,6,91,116,70,186,0,1,1,220,145,365,27,12,39,0,0,0,41,28,69,553,277,830,9,11,36,124,214,436,0
South and East Cumbria,0,0,0,0,0,0,9,2,11,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,14,2,16,20,17,37,1,0,1,28,13,41,8,5,13,0,0,0,30,15,45,111,55,166,4,2,6,32,41,81,0
North and West Cumbria,2,0,2,0,0,0,15,4,19,0,0,0,0,0,0,3,0,3,2,0,2,0,0,0,5,1,6,21,7,28,1,0,1,12,6,18,10,2,12,0,0,0,0,1,1,71,21,92,2,0,7,29,29,25,0
Manchester city,2,0,2,0,0,0,34,5,39,0,0,0,0,0,0,3,2,5,7,2,9,0,0,0,22,2,24,107,96,203,0,0,0,164,97,261,17,11,28,0,0,0,95,89,184,451,304,755,15,5,25,123,179,408,0
Manchester North,0,0,0,0,0,0,48,12,60,0,0,0,0,0,0,5,0,5,1,1,2,0,0,0,8,0,8,61,21,82,0,0,0,107,109,216,16,3,19,0,0,0,41,42,83,287,188,475,12,2,21,95,120,225,0
Manchester South,2,1,3,0,0,0,40,9,49,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,28,0,28,151,103,254,0,0,0,123,109,232,35,17,52,0,0,0,29,4,33,410,243,653,12,3,21,101,145,371,0
Manchester West,0,0,0,0,0,0,52,22,74,0,0,0,0,0,0,10,2,12,5,1,6,0,0,0,42,4,46,95,106,201,0,0,0,61,23,84,39,26,65,0,0,0,68,80,148,372,264,636,18,17,22,111,128,340,0
