"Table 1.11(a) Sentencing for terrorism trials where offender convicted under terrorism legislation, 2009/10",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Determinate Sentence,,,,,,,Indeterminate Sentence,,,Non-custodial,,Total
Plea,,Under 1 year,1 year and under 4 years,4 years and under 10 years,10 years and under 20 years,20 years and under 30 years,30 years and over,,IPP(2),Life,,,,
,,Terrorism Act 2000,,,,,,,,,,,,
Guilty,,0,2,0,0,0,0,,0,0,,1,,3
Not guilty,,0,3,1,0,0,0,,0,0,,0,,4
,,Terrorism Act 2006,,,,,,,,,,,,
Guilty,,0,1,0,0,0,0,,0,0,,0,,1
Not guilty,,0,1,1,1,0,0,,0,0,,0,,3
,,"Anti-Terrorism, Crime and Security Act 2001",,,,,,,,,,,,
Guilty,,0,1,0,0,0,0,,0,0,,0,,1
Not guilty,,0,0,0,0,0,0,,0,0,,0,,0
,,,,,,,,,,,,,,
,,All offences,,,,,,,,,,,,
Guilty,,0,4,0,0,0,0,,0,0,,1,,5
Not guilty,,0,4,2,1,0,0,,0,0,,0,,7
,,0,8,2,1,0,0,,0,0,,1,,12
,,,,,,,,,,,,,,
Source: Crown Prosecution Service Counter-Terrorism Division,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
(1)     Refers to those dealt with by the Crown Prosecution Service Counter-Terrorism Division only.,,,,,,,,,,,,,,
(2)     Indeterminate sentence for Public Protection.,,,,,,,,,,,,,,
