Table 3: Young population in prison: by type of custody and sex,,,,,,,,,,,
 31 March 2009,,,,,,,,,,,
,,15.0,16.0,17.0,Total Under 18,,18,19,20,21.0,Total Young Adults1
"All young population in prisons, of which",,,,,,,,,,,
Prisoners on remand,,58.0,128.0,350.0,537,,601,625,640,82.0,"1,948"
,Untried,43.0,81.0,231.0,355,,381,409,381,58.0,"1,229"
,Convicted unsentenced,15.0,47.0,119.0,181,,220,216,260,24.0,720
Prisoners under sentence,,152.0,458.0,983.0,"1,593",,"1,514","2,432","2,814",727.0,"7,487"
,Fine defaulter,0.0,0.0,0.0,0,,0,1,1,0.0,1
,Immediate custodial sentence,152.0,458.0,983.0,"1,593",,"1,514","2,431","2,813",727.0,"7,486"
Non-criminal prisoners,,1.0,1.0,1.0,3,,18,34,37,19.0,108
,,,,,,,,,,,
"All young male population in prisons, of which",,,,,,,,,,,
Prisoners on remand,,58.0,128.0,336.0,523,,577,592,597,79.0,"1,846"
,Untried,43.0,81.0,219.0,344,,365,388,355,57.0,"1,165"
,Convicted unsentenced,15.0,47.0,117.0,179,,213,204,242,23.0,681
Prisoners under sentence,,152.0,458.0,949.0,"1,559",,"1,446","2,321","2,712",711.0,"7,191"
,Fine defaulter,0.0,0.0,0.0,0,,0,1,1,0.0,1
,Immediate custodial sentence,152.0,458.0,949.0,"1,559",,"1,446","2,321","2,712",711.0,"7,190"
Non-criminal prisoners,,1.0,1.0,1.0,3,,16,32,36,19.0,104
,,,,,,,,,,,
"All young female population in prisons, of which",,,,,,,,,,,
Prisoners on remand,,0.0,0.0,13.0,13,,24,33,44,2.0,103
,Untried,0.0,0.0,12.0,12,,16,21,25,1.0,63
,Convicted unsentenced,0.0,0.0,2.0,2,,8,12,18,1.0,39
Prisoners under sentence,,0.0,0.0,34.0,34,,68,110,102,16.0,296
,Fine defaulter,0.0,0.0,0.0,0,,0,0,0,0.0,0
,Immediate custodial sentence,0.0,0.0,34.0,34,,68,110,102,16.0,296
Non-criminal prisoners,,0.0,0.0,0.0,0,,1,1,1,0.0,4
,,,,,,,,,,,
,,,,,,,,,,,
1 Young adults are those aged 18 - 20 and those 21 year olds who were aged 20 or under at conviction who have not been reclassified as part of the adult population,,,,,,,,,,,
