24-Sep-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NextStep Progression - IFF Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 61/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q32b. Can you tell me what impact, or what difference, you think the adviser made?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Those whose advisor played a part,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fieldwork Month,,,,,,,Quarter,,,Intervention Type,,Service Type,,,Age,,,,Prime Contractor,,,,,,,,,,,,,Gender,,Employment status,,,,Prior quals,,Ethnicity,,Disability,,Fieldwork Month,,,,,,,NEET,,,Longit
,Total,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Q1,Q2,Q3,Telephone,Face To Face (F2fF),Telephone Advice,Telephone Information,F2F Advice,Under 19,20-24,25-49,50 or over,Next Step,EM,E of E,London,NE,NW Econ Sol,NW GMCP Mersey,NW GMCP Cumbria,SE,SW CSW,SW Tribal,WM,Y & H,Male,Female,Work,Learning,Unemployed,Other,<L2,L2+,White British,Non-White British,Yes,No,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,18-24 JSA,18-24 JSA/IB/IS,18-24 NEET,Yes
Unweighted row,1175,398,146,140,131,112,123,125,398,417,360,363,812,160,203,812,75,278,649,173,363,94,60,66,49,60,46,30,103,61,64,93,86,483,444,328,61,726,59,252,770,746,429,119,924,398,146,140,131,112,123,125,146,159,230,129
Total,1221,411,149,146,136,123,127,129,411,432,379,188,1033,51,137,1033,86,275,661,200,188,120,76,84,62,76,58,38,131,78,81,118,109,518,448,303,50,808,59,285,772,797,424,127,954,411,149,146,136,123,127,129,170,184,258,137
Helped improve my confidence / motivated me,245,81,36,*18,36,30,18,26,81,89,74,*30,*215,10,*20,*215,17,54,132,41,*30,18,14,23,10,11,16,8,30,*24,13,18,29,99,101,55,*4,169,17,61,158,*177,*68,34,192,81,36,*18,36,30,18,26,43,46,58,19
,20%,20%,24%,13%,26%,24%,14%,20%,20%,21%,20%,16%,21%,20%,14%,21%,20%,20%,20%,21%,16%,15%,18%,27%,16%,15%,28%,20%,23%,31%,16%,15%,27%,19%,23%,18%,8%,21%,28%,22%,20%,22%,16%,27%,20%,20%,24%,13%,26%,24%,14%,20%,25%,25%,23%,14%
Gave me useful information i.e. useful contact names and numbers,110,*81,10,*3,8,*3,*4,*1,*81,*21,*9,19,91,6,13,91,9,19,66,17,19,11,6,10,10,4,3,3,*4,8,8,9,15,53,*51,29,7,66,8,27,77,74,36,10,*95,*81,10,*3,8,*3,*4,*1,12,12,*14,*3
,9%,20%,7%,2%,6%,3%,3%,1%,20%,5%,2%,10%,9%,12%,10%,9%,11%,7%,10%,8%,10%,10%,8%,12%,16%,5%,4%,7%,3%,10%,9%,8%,14%,10%,11%,10%,14%,8%,14%,10%,10%,9%,8%,8%,10%,20%,7%,2%,6%,3%,3%,1%,7%,6%,6%,2%
"Helped me towards getting a job inc. updating my CV, interview techniques",390,143,45,42,46,*27,43,44,143,133,114,*38,*351,14,*25,*351,*18,94,210,67,*38,47,22,36,*28,29,19,11,45,17,23,38,37,169,134,*82,14,*284,*10,92,235,253,137,32,310,143,45,42,46,*27,43,44,59,65,88,47
,32%,35%,30%,29%,34%,22%,34%,34%,35%,31%,30%,20%,34%,27%,18%,34%,22%,34%,32%,34%,20%,39%,28%,42%,45%,38%,33%,30%,34%,21%,28%,32%,34%,33%,30%,27%,28%,35%,17%,32%,30%,32%,32%,25%,33%,35%,30%,29%,34%,22%,34%,34%,35%,35%,34%,35%
Made me able to take stock of my skills and make plans for the future,193,76,17,22,23,19,20,15,76,62,55,*40,*153,11,*29,*153,10,39,110,33,*40,22,13,9,8,17,9,4,17,6,15,18,17,74,*83,57,9,*114,11,35,129,124,69,17,153,76,17,22,23,19,20,15,19,23,32,23
