GARDEN RECYCLING,ACORN,KERBSIDE COLLECTED,,,,,,,KERBSIDE COLLECTED,,,,,
,,ACORN 1,ACORN 2,ACORN 3,ACORN 4,ACORN 5,WEIGHTED,,ACORN 1,ACORN 2,ACORN 3,ACORN 4,ACORN 5,WEIGHTED
,SET OUT RATE,34%,23%,29%,0%,14%,24%,,34%,23%,29%,0%,14%,24%
,WEIGHTING,33.79%,30.41%,12.49%,9.35%,13.96%,100.00%,,33.79%,30.41%,12.49%,9.35%,13.96%,100.00%
Primary categories,Sub-categories,%,%,%,%,%,%,,KG/HH/WK,KG/HH/WK,KG/HH/WK,KG/HH/WK,KG/HH/WK,KG/HH/WK
PAPER ,Newspapers,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Magazines,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Other recyclable paper,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Paper Packaging,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Non-recyclable paper,0.01%,0.00%,0.00%,0.00%,0.01%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
CARD & CARDBOARD,Liquid cartons,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Thick Cardboard Packaging ,0.04%,0.00%,0.00%,0.00%,0.00%,0.02%,,0.00,0.00,0.00,0.00,0.00,0.00
,Thin Card Packaging ,0.02%,0.00%,0.00%,0.00%,0.00%,0.01%,,0.00,0.00,0.00,0.00,0.00,0.00
,All Other Card non-recyclable,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
PLASTIC FILM,Packaging Plastic Film ,0.40%,0.00%,0.10%,0.00%,0.01%,0.22%,,0.01,0.00,0.00,0.00,0.00,0.01
,Other Plastic Film ,0.00%,0.00%,0.53%,0.00%,0.00%,0.06%,,0.00,0.00,0.01,0.00,0.00,0.00
DENSE PLASTIC,Plastic Bottles ,0.04%,0.00%,0.00%,0.00%,0.00%,0.02%,,0.00,0.00,0.00,0.00,0.00,0.00
,"Dense Plastic Packaging (e.g. Recyclable tubs, pots, trays, cartons)",0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,All Other Dense Plastic ,0.00%,0.00%,0.67%,0.00%,0.19%,0.09%,,0.00,0.00,0.01,0.00,0.00,0.00
TEXTILES,All Textiles,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Shoes,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
MISC COMBUSTIBLES,Treated Wood ,0.15%,0.00%,0.00%,0.00%,13.92%,1.21%,,0.01,0.00,0.00,0.00,0.18,0.03
,Untreated Wood ,0.00%,0.00%,0.00%,0.00%,10.87%,0.88%,,0.00,0.00,0.00,0.00,0.14,0.02
,Furniture ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Disposable nappies and sanitary products,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Other Miscellaneous Combustibles,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Carpet and Underlay,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
MISC NON-COMBUSTIBLES,Construction and Demolition ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Other Miscellaneous Non-Combustible,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
GLASS,Glass Bottles,1.21%,0.00%,0.00%,0.00%,0.00%,0.64%,,0.04,0.00,0.00,0.00,0.00,0.01
,Glass Jars,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Other Glass,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
FERROUS METAL,Food tins & cans,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Drink cans,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Aerosols,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,All other ferrous,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
NON-FERROUS METAL,Food tins & cans,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Drink cans,0.02%,0.00%,0.00%,0.00%,0.04%,0.02%,,0.00,0.00,0.00,0.00,0.00,0.00
,Aerosols,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Aluminium foil and food trays,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Other non- ferrous,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
ORGANIC NON-CATERING,Garden waste,89.18%,100.00%,94.05%,0.00%,68.93%,91.12%,,3.13,2.08,1.85,0.00,0.90,2.05
,Soil ,8.83%,0.00%,4.21%,0.00%,5.87%,5.60%,,0.31,0.00,0.08,0.00,0.08,0.13
,Other Organic ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
ORGANIC CATERING,Home compostable kitchen waste ,0.00%,0.00%,0.43%,0.00%,0.02%,0.05%,,0.00,0.00,0.01,0.00,0.00,0.00
,Non-home compostable kitchen waste,0.00%,0.00%,0.00%,0.00%,0.06%,0.01%,,0.00,0.00,0.00,0.00,0.00,0.00
,Compostable Liners,0.10%,0.00%,0.00%,0.00%,0.00%,0.05%,,0.00,0.00,0.00,0.00,0.00,0.00
,"All Consumable liquids, oils and fats",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
FINES,Sweepings < 10mm,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
WEEE,White Goods,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Large Electronic goods,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,TV’s and Monitors,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
,Other WEEE,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
HHW,Household Batteries,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,0.00,0.00,0.00,0.00,0.00,0.00
