#,6.6,,,,,,Back to Index
Chart title,"Households in London under-occupying their accommodation (according to the bedroom standard) by tenure, 1995/96 to 2015/16",,,,,,
Source and notes,"- Survey of English Housing and English Housing Survey data, 1993/94 to 2015/16",,,,,,
Three-year period ending,Owner occupiers,Social renters,Private renters,Total,,,
1995/96,33%,8%,10%,23%,,,
1996/97,33%,8%,10%,22%,,,
1997/98,34%,8%,10%,23%,,,
1998/99,34%,8%,10%,23%,,,
1999/00,36%,8%,10%,24%,,,
2000/01,36%,8%,10%,24%,,,
2001/02,36%,8%,10%,25%,,,
2002/03,36%,7%,9%,25%,,,
2003/04,36%,7%,8%,24%,,,
2004/05,37%,8%,8%,25%,,,
2005/06,37%,8%,10%,25%,,,
2006/07,37%,9%,10%,25%,,,
2007/08,37%,8%,11%,25%,,,
2008/09,38%,9%,11%,25%,,,
2009/10,38%,7%,11%,25%,,,
2010/11,38%,7%,10%,24%,,,
2011/12,38%,6%,9%,23%,,,
2012/13,39%,7%,7%,23%,,,
2013/14,40%,7%,7%,23%,,,
2014/15,41%,8%,8%,24%,,,
