Trust Code,Trust Name,Completed Organisational Survey,Performs CEA,Performs AAA Repairs,Performs Lower Limb Bypass,Performs Lower Limb Angioplasty/Stent,Performs Major Lower Limb Amputations
7A1,Betsi Cadwaladr University Health Board,No,Yes,Yes,Yes,Yes,Yes
7A3,Abertawe Bro Morgannwg University Health Board,Yes,Yes,Yes,Yes,Yes,Yes
7A4,Cardiff and Vale University Health Board,Yes,Yes,Yes,Yes,Yes,Yes
7A5,Cwm Taf University Health Board,Yes,Yes,Yes,Yes,Yes,Yes
7A6,Aneurin Bevan University Health Board,Yes,Yes,Yes,Yes,Yes,Yes
R0A,Manchester University NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
R1H,Barts Health NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
R1K,London North West Healthcare NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RA9,Torbay and South Devon NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RAE,Bradford Teaching Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RAJ,Southend University Hospital NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RAL,Royal Free London NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RBA,Taunton and Somerset NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RBD,Dorset County Hospital NHS Foundation Trust,Yes,No,No,No,Yes,No
RBN,St Helens & Knowsley Teaching Hospitals NHS Trust,Yes,No,No,No,Yes,No
RBZ,Northern Devon Healthcare NHS Trust,Yes,No,No,Yes,Yes,Yes
RC1,Bedford Hospital NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RCB,York Teaching Hospital NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RDE,Colchester Hospital University NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RDU,Frimley Health NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RDZ,Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
REF,Royal Cornwall Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
REM,Aintree University Hospital NHS Foundation Trust,Yes,No,No,No,Yes,No
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",Yes,Yes,Yes,Yes,Yes,Yes
RGN,North West Anglia NHS Foundation Trust,No,No,No,No,Yes,No
RGR,West Suffolk NHS Foundation Trust,Yes,No,No,No,Yes,No
RGT,Cambridge University Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RH8,Royal Devon and Exeter NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RHM,University Hospital Southampton NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RHU,Portsmouth Hospitals NHS Trust,No,No,No,No,Yes,No
RHW,Royal Berkshire NHS Foundation Trust,Yes,No,No,No,Yes,No
RJ1,Guy's and St Thomas' NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RJ7,St George's University Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RJE,University Hospital of North Midlands NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RJR,Countess of Chester Hospital NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RJZ,King's College Hospital NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RK9,Plymouth Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RKB,University Hospitals Coventry and Warwickshire NHS Trust,No,Yes,Yes,Yes,Yes,Yes
RL4,Royal Wolverhampton Hospitals NHS Trust,Yes,No,No,No,Yes,No
RLN,City Hospitals Sunderland NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RMC,Bolton NHS Foundation Trust,Yes,No,No,No,Yes,No
RNA,The Dudley Group NHS Foundation Trust,Yes,Yes,Yes,Yes,Yes,Yes
RNL,North Cumbria University Hospitals NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
RNS,Northampton General Hospital NHS Trust,Yes,Yes,Yes,Yes,Yes,Yes
