Return Ref: R2 and R3,,,,,,,,,,,,,
Organisation code:,,,210 - Calderdale,,,,,,,,,,
Form Number:,,,49177,,,,,,,,,,
WorkArea:,,,RAP1011,,,,,,,,,,
Period 01/04/13 to 31/03/14,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Please ensure you have only one Omnibus window open at a time, even if you are logged in as different organisations. Opening more than one window can cause data to be saved incorrectly and lead to errors in your organisation's return.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"Return Ref: R2Return Title: Number of contacts for new clients during the period concerning services from the CASSR whose needs were attended to solely at or near the point of contact, (including cases where new clients receive short term services without undergoing a full community care assessment) ",,,,,,,,,,,,
,,,,,,,,,,,,,
,R2,,,,,,,,,,,,
, ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Enter total number of contacts for new clients whose needs were attended to solely at or near the point of contact, (including cases where new clients receive short term services without undergoing a full community care assessment)",,,,10797.0,,,,,,,"Enter total number of contacts for new clients whose needs were attended to solely at or near the point of contact, (including cases where new clients receive short term services without undergoing a full community care assessment)"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Return Ref: R3Return Title: Source of referral for all contact events covered in R2 AND for those passed on for further assessment,,,,,,,,,,,,
,,,,,,,,,,,,,
,R3,,,,,,,,,,,,
, ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Source of referral in the following categories (please record initial source of referral only):,,,,,,,,,,,Source of referral in the following categories (please record initial source of referral only):
,,,,,,,,,,,,,
,,"Primary/Community health (GP, community-based AHP, etc.)",,,,3041.0,,,,,,,"Primary/Community health (GP, community-based AHP, etc.)"
,,,,,,,,,,,,,
,,"Secondary health (A+E, hospital OT, ward, hospice, etc.)",,,,1452.0,,,,,,,"Secondary health (A+E, hospital OT, ward, hospice, etc.)"
,,,,,,,,,,,,,
,,Self referral,,,,2382.0,,,,,,,Self referral
,,,,,,,,,,,,,
,,Family / friend / neighbour,,,,1565.0,,,,,,,Family / friend / neighbour
,,,,,,,,,,,,,
,,Internal (i.e. own CASSR),,,,5383.0,,,,,,,Internal (i.e. own CASSR)
,,,,,,,,,,,,,
,,LA Housing Department or Housing Association,,,,199.0,,,,,,,LA Housing Department or Housing Association
,,,,,,,,,,,,,
,,Other departments in own/other LA,,,,106.0,,,,,,,Other departments in own/other LA
,,,,,,,,,,,,,
,,"Legal agency (Police, court, probation, immigration, etc.)",,,,5.0,,,,,,,"Legal agency (Police, court, probation, immigration, etc.)"
,,,,,,,,,,,,,
,,Other,,,,656.0,,,,,,,Other
,,,,,,,,,,,,,
,,Not known,,,,1.0,,,,,,,Not known
,,,,,,,,,,,,,
,,R3 Total,,,,14790.0,,,,,,,R3 Total
