"Table 2.9 Car, Goods and All KSI Vehicle Accident Rates on A Roads - 2010",,,,,,,
District,Road Length Km,Car KSI Accidents,Accident Rate Per 100 Million Car Km,Goods KSI Accidents,Accident Rate Per 100 Million Goods Km,All KSI Accidents,Accident Rate Per 100 Million Vehicle Km
Bolton,101,32,5,2,2,35,5
Bury,55,21,7,3,8,25,7
Manchester,116,57,7,7,7,72,7
Oldham,98,23,6,4,7,30,7
Rochdale,80,19,5,1,2,23,5
Salford,87,40,7,4,4,45,7
Stockport,84,19,3,5,7,24,4
Tameside,66,18,6,3,6,21,6
Trafford,58,19,5,0,0,20,5
Wigan,117,24,4,4,4,27,4
Greater Manchester,863,272,5,33,5,322,6
Notes:,,,,,,,
1.     Accident rates per 100 million vehicle kilometres are derived from figures quoted in the GMTU Report 1580,,,,,,,
         ' Transport Statistics Greater Manchester 2009'.,,,,,,,
2.     A roads include A57(M) but exclude the A627(M).,,,,,,,
"3.     Some 'car' accidents may also involve 'goods' and vice-versa. Thus, there may be fewer 'all vehicle' accidents",,,,,,,
        than the total of 'car' and 'goods' accidents.,,,,,,,
4.     KSI = Killed and Seriously Injured.,,,,,,,
,,,,,,,
List of Tables in this Workbook,,,,,,,
