"Stockport Casualty Trends, 1994-2014",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 1.31 Stockport Reported Road Casualty Data 1994-2014,,,,,,,,,,,,,,,,,,,,,
,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
All Casualties,,,,,,,,,,,,,,,,,,,,,
Fatal,13.0,13.0,8.0,9.0,14.0,9.0,5.0,9.0,6.0,11.0,3.0,9.0,4.0,9.0,8.0,7.0,5.0,4.0,0.0,3.0,6.0
Serious,129.0,97.0,114.0,94.0,63.0,84.0,75.0,63.0,94.0,88.0,61.0,71.0,75.0,71.0,69.0,64.0,52.0,61.0,49.0,43.0,58.0
Slight,1554.0,1464.0,1444.0,1441.0,1514.0,1341.0,1351.0,1257.0,1105.0,1065.0,1052.0,933.0,965.0,808.0,728.0,645.0,588.0,526.0,435.0,396.0,341.0
All ,1696.0,1574.0,1566.0,1544.0,1591.0,1434.0,1431.0,1329.0,1205.0,1164.0,1116.0,1013.0,1044.0,888.0,805.0,716.0,645.0,591.0,484.0,442.0,405.0
KSI ,142.0,110.0,122.0,103.0,77.0,93.0,80.0,72.0,100.0,99.0,64.0,80.0,79.0,80.0,77.0,71.0,57.0,65.0,49.0,46.0,64.0
Population 000’s,291.4,290.6,291.1,291.5,292.8,291.9,291.1,284.6,283.1,282.5,282.5,282.2,281.6,280.6,280.9,282.5,283.7,284.6,283.3,283.9,285.0
KSI Rate per 100000 Pop'n,49.0,38.0,42.0,35.0,26.0,32.0,27.0,25.0,35.0,35.0,23.0,28.0,28.0,29.0,27.0,25.0,20.0,23.0,17.0,16.0,23.0
Child Casualties,,,,,,,,,,,,,,,,,,,,,
Child KSI,15.0,19.0,22.0,15.0,7.0,16.0,14.0,15.0,14.0,12.0,10.0,11.0,10.0,8.0,10.0,12.0,3.0,12.0,5.0,5.0,7.0
Child (All),242.0,233.0,205.0,224.0,213.0,216.0,195.0,198.0,149.0,154.0,156.0,110.0,132.0,84.0,82.0,84.0,85.0,77.0,57.0,54.0,33.0
Child Pop’n 000’s,59.0,58.3,58.1,58.0,58.0,57.5,56.9,57.4,56.6,55.6,55.6,55.0,54.4,53.5,52.9,52.7,52.7,52.8,53.4,53.713,53.937
KSI Rate per 100000 Pop'n,25.0,33.0,38.0,26.0,12.0,28.0,25.0,26.0,25.0,22.0,18.0,20.0,18.0,15.0,19.0,23.0,6.0,23.0,9.0,9.0,13.0
Casualty Type,,,,,,,,,,,,,,,,,,,,,
TWPV,80.0,51.0,54.0,61.0,54.0,70.0,87.0,81.0,88.0,77.0,63.0,76.0,67.0,63.0,57.0,45.0,41.0,46.0,30.0,42.0,32.0
Car Occupant,1139.0,1082.0,1061.0,1027.0,1074.0,907.0,902.0,839.0,757.0,719.0,691.0,624.0,653.0,542.0,495.0,429.0,382.0,334.0,272.0,247.0,238.0
Pedestrian,246.0,195.0,220.0,229.0,233.0,220.0,223.0,176.0,177.0,173.0,201.0,162.0,144.0,151.0,134.0,129.0,111.0,101.0,88.0,69.0,67.0
Pedal Cycle ,120.0,132.0,115.0,103.0,103.0,117.0,103.0,98.0,91.0,87.0,72.0,80.0,89.0,71.0,64.0,76.0,72.0,66.0,55.0,56.0,55.0
Other,111.0,114.0,116.0,124.0,127.0,120.0,116.0,135.0,92.0,108.0,89.0,71.0,91.0,61.0,55.0,37.0,39.0,44.0,39.0,28.0,13.0
All,1696.0,1574.0,1566.0,1544.0,1591.0,1434.0,1431.0,1329.0,1205.0,1164.0,1116.0,1013.0,1044.0,888.0,805.0,716.0,645.0,591.0,484.0,442.0,405.0
,,,,,,,,,,,,,,,,,,,,,
Note:  The table uses figures provided by the Office for National Statistics for mid-year estimates of populations,,,,,,,,,,,,,,,,,,,,,
