"Department for Education  DATA COLLECTION
Year 2011-12
Table B",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LA No.,,,381,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LA Name,,,Calderdale,,,,,,,,,,,,,,,,,,
Phase,School Name,DfE Reference Number,"Opening Pupil Focused Revenue Balance [OB01]
(2010-11 B01 & B02 carried forward) ",,"Opening Community Focused  School Revenue Balance [OB02]
(2010-11 B06 carried forward) ",,,,Planned Budget Share,Delegated Funds (Including YPLA funding) [I01 & I02],,SEN Funding  [I03] and Minority Ethnic Pupils [I04],Pupil Premium [I05],Other Government Grants [I06],Income generated by schools (excluding community focused income) [I07 to I13],Pupil focused extended school funding and/or grants [I15],Community focused school funding and/or grants [I16],Community focused  school facilities income [I17],Total resources available to school (sum of 3 + 4 + (6 to 13)),"School Expenditure (does not include community focused expenditure, CERA or income) [E01 to E29] ",Community focused school expenditure (does not include income) [E31 & E32] ,Capital Expenditure from Revenue - CERA [E30],Committed Revenue Balance [B01]  ,Uncommitted Revenue Balance [B02],Community Focused School Revenue Balance [B06]
Primary Schools,Rawson Junior and Infant School,2001,"36,294",,0,,,,"1,247,677","1,186,694",,"144,985","47,824",0,"88,014",0,0,0,"1,503,810","1,376,101",0,0,"127,710",0,0
,Ferney Lee Primary School,2003,"101,818",,430,,,,"778,509","733,804",,"84,277","17,741",0,"51,895",0,0,0,"989,965","954,063",0,0,"35,472",0,430
,Bradshaw Primary School,2004,66,,54,,,,"913,439","890,281",,"46,364","12,688","25,000","129,572",0,0,"197,841","1,301,865","1,074,054","194,655","58,565","-28,648",0,"3,240"
,Copley Primary School,2006,"69,251",,0,,,,"745,077","749,112",,"27,294","1,952","8,644","70,368",0,0,0,"926,620","863,731",0,0,"62,889",0,0
,Dean Field Community Primary School,2007,"141,692",,0,,,,"997,829","866,589",,"143,097","40,668","14,990","104,090",0,0,0,"1,311,125","1,208,673",0,0,"102,452",0,0
,Savile Park Primary School,2009,"77,240",,0,,,,"1,046,339","863,480",,"242,076","23,912",0,"128,645",0,0,0,"1,335,353","1,252,795",0,0,"82,558",0,0
,Lee Mount Primary School,2010,"145,228",,0,,,,"1,555,498","1,298,365",,"306,935","51,928","21,747","78,418",0,0,0,"1,902,621","1,786,067",0,0,"116,554",0,0
,Northowram Primary School,2015,"60,779",,0,,,,"1,339,698","1,331,529",,"73,570","9,435",465,"145,641",0,0,0,"1,621,418","1,522,845",0,0,"98,573",0,0
