Table 5,,,,,,,,,,,,,,,,,,,,
"PLACEMENT OF CHILDREN AND YOUNG PEOPLE FOR WHOM LOCAL AUTHORITIES MAINTAIN A STATEMENT OF SPECIAL EDUCATIONAL NEEDS (SEN), OR EHC PLAN BY EACH LOCAL AUTHORITY (1)",,,,,,,,,,,,,,,,,,,,
By region and Local Authority area in England,,,,,,,,,,,,,,,,,,,,
January: 2015,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
LA Code,,,"Total children and young people for whom the authority maintains a statement of SEN, or EHC plan","Percentages of children and young people for whom the authority maintains a statement, or EHC plan placed in: (2)",,,,,,,,,,,,,,,"Percentage of children and young people for whom the authority maintains a statement of SEN, or EHC plan who were educated other than in school (2)","Percentage of children and young people for whom the authority maintains a statement of SEN, or EHC plan who were awaiting provision (2)"
,,,,non-maintained early years settings in the private and voluntary sector,resourced provision in maintained mainstream schools,SEN units in maintained mainstream schools,maintained mainstream schools (including foundation schools),maintained special schools (including foundation schools),"non-maintained special schools, independent special schools and other independent schools",hospital schools (including foundation schools) and pupil referral units,academies (including free schools),special academies (including free schools),alternative provision academies (including free schools),general further education and tertiary colleges/ higher education,other further education,sixth form college,work based learning (apprenticeships),independent specialist providers,,
,,,,,,,,,,,,,,,,,,,,
,,ENGLAND,"240,185",0.4,3.4,2.1,29.3,34.5,6.5,0.5,15.9,5.7,0.1,0.0,0.0,x,0.0,x,1.0,0.4
,,,,,,,,,,,,,,,,,,,,
,,NORTH EAST,"11,810",0.3,4.5,2.5,23.1,37.3,4.8,0.2,10.3,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6
E06000005,841.0,Darlington,435,x,x,0.0,10.6,0.9,2.1,0.0,25.3,58.5,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0
E06000047,840.0,Durham,"2,495",0.8,4.0,0.0,30.8,43.3,3.6,0.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4
E08000020,390.0,Gateshead,840,x,3.4,x,20.5,39.7,8.0,0.0,15.4,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,x
E06000001,805.0,Hartlepool,385,0.0,9.1,x,29.4,7.5,3.6,0.0,7.5,39.7,0.0,1.3,0.0,0.0,0.0,0.0,1.6,0.0
E06000002,806.0,Middlesbrough,770,0.0,0.0,10.4,14.0,58.0,4.4,0.9,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.0
E08000021,391.0,Newcastle upon Tyne,915,0.0,0.0,4.0,13.1,63.2,9.6,x,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x,0.0
E08000022,392.0,North Tyneside,"1,010",0.0,12.7,0.0,33.5,46.0,1.6,0.6,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x,1.0
E06000048,929.0,Northumberland,"1,460",x,0.0,0.4,27.4,44.3,6.9,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8
E06000003,807.0,Redcar and Cleveland,730,0.0,0.0,7.0,31.9,26.0,4.5,0.0,11.7,18.7,0.0,0.0,0.0,0.0,0.0,0.0,x,0.0
E08000023,393.0,South Tyneside,705,0.4,4.7,10.6,20.4,59.0,3.5,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,x,0.0
E06000004,808.0,Stockton-on-Tees,930,1.0,9.6,0.0,13.0,3.7,6.2,0.4,7.9,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,x
E08000024,394.0,Sunderland,"1,135",0.4,10.6,3.6,14.4,16.5,2.6,x,9.7,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,x
,,,,,,,,,,,,,,,,,,,,
,,NORTH WEST,"31,420",0.4,2.5,1.9,34.7,40.0,6.0,0.6,9.5,3.4,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.2
E06000008,889.0,Blackburn with Darwen,360,x,5.2,2.5,15.2,51.9,14.4,1.4,6.1,1.7,x,0.0,0.0,0.0,0.0,0.0,0.8,0.0
E06000009,890.0,Blackpool,530,0.0,0.0,2.1,15.8,27.1,13.2,1.9,10.4,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.1
E08000001,350.0,Bolton,"1,365",x,2.5,0.0,46.3,37.5,4.9,0.9,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,x
E08000002,351.0,Bury,"1,290",1.2,3.3,1.2,56.4,22.7,9.5,0.5,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
E06000049,895.0,Cheshire East,"1,635",2.6,5.1,0.0,28.2,27.9,9.0,x,22.6,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.6,x
E06000050,896.0,Cheshire West and Chester,"1,400",0.3,6.8,0.0,29.1,44.0,4.2,0.0,11.2,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
E10000006,909.0,Cumbria,"2,105",1.2,0.0,0.0,52.0,22.7,5.1,0.4,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
E06000006,876.0,Halton,410,0.0,3.2,0.0,12.0,43.3,12.0,0.0,8.8,20.3,0.0,0.0,0.0,0.0,0.0,0.0,x,0.0
E08000011,340.0,Knowsley,910,x,0.0,0.0,38.3,49.0,5.4,2.0,1.7,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10000017,888.0,Lancashire,"4,945",0.2,0.0,0.0,39.6,48.4,5.7,0.6,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1
E08000012,341.0,Liverpool,"1,520",x,2.8,1.0,12.2,72.9,5.1,0.0,3.4,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.7,1.0
E08000003,352.0,Manchester,"2,320",0.3,3.7,0.2,37.3,35.9,3.7,1.0,11.3,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0
E08000004,353.0,Oldham,"1,160",x,3.0,0.0,29.7,19.4,3.5,0.0,15.9,26.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1
