"A.04  Persons arrested for terrorism-related offences under section 41 of the Terrorism Act 20001,2 and other legislation3",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Number,,,,,,,,,,,,,,,,,,Great Britain
,,Date of arrest,,,,,,,,,,Total year ending,,,Change4,,, Since 11 Sep  2001
,,Jul-Sep 2010,Oct-Dec 2010,Jan-Mar 2011,Apr-Jun 2011,Jul-Sep 2011,Oct-Dec 2011,Jan-Mar 2012,Apr-Jun 2012,Jul-Sep 2012,,30 Sep 2011,30 Sep 2012,,Number,%,,
Legislation,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Section 41 Terrorism Act,,10,26,7,22,16,9,3,24,15,,71,51,,-20,-28,,"1,623"
Percentage of total (%)5,,31,52,33,59,36,14,5,38,26,,46,21,,,,,71
,,,,,,,,,,,,,,,,,,
Other legislation3,,22,24,14,15,29,57,55,40,42,,82,194,,112,137,,668
Percentage of total (%)5,,69,48,67,41,64,86,95,63,74,,54,79,,,,,29
,,,,,,,,,,,,,,,,,,
Total,,32,50,21,37,45,66,58,64,57,,153,245,,92,60,,"2,291"
Source: ACPO Counter Terrorism Coordination Centre (ACTCC),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1.   Data presented here are based on the latest position with each case as at the date of data provision from ACTCC (18 January 2013).,,,,,,,,,,,,,,,,,,
2.   Section 41 of the Terrorism Act 2000 gives the police the power to arrest a person whom they reasonably suspect to be a terrorist without a warrant. This is,,,,,,,,,,,,,,,,,,
      similar to the powers of arrest contained in wider criminal legislation. ,,,,,,,,,,,,,,,,,,
"3.   Persons suspected of terrorism-related offences are not always initially arrested under section 41 of the Terrorism Act 2000, some may be arrested under standard ",,,,,,,,,,,,,,,,,,
      legislation given by the Police and Criminal Evidence Act (PACE) and other legislation. A terrorist link is not always substantiated; all outcomes of these arrests ,,,,,,,,,,,,,,,,,,
      are shown in Tables A.05 and A.07.,,,,,,,,,,,,,,,,,,
4.   Difference between the totals for the 12 months ending 30 September 2011 and 30 September 2012.,,,,,,,,,,,,,,,,,,
5.   Care should be taken in interpreting percentages in this table as the numbers on which they are based are relatively low.,,,,,,,,,,,,,,,,,,
