"Table as.09.q: Unaccompanied Asylum Seeking Children, excluding dependants, initial decisions, by age at initial decision.",,,,,,,,,,,,,,,,,,,,,,,,
Quarter,Geographical region,Country of nationality,Total initial decisions,Total initial decisions made on applicants aged 17 or under,"Total grants, applicants aged 17 or under","Grants of asylum, applicants aged 17 or under","Grants of HP, applicants aged 17 or under","Grants of DL, applicants aged 17 or under","Total refusals, applicants aged 17 or under","Certified refusals, applicants aged 17 or under","Other refusals, applicants aged 17 or under","3rd country refusals, applicants aged 17 or under","Non-comp refusals, applicants aged 17 or under",Total initial decisions made on applicants aged 18 and over,"Total grants, applicants aged 18 and over","Grants of asylum, applicants aged 18 and over","Grants of HP, applicants aged 18 and over","Grants of DL, applicants aged 18 and over","Total refusals, applicants aged 18 and over","Certified refusals, applicants aged 18 and over","Other refusals, applicants aged 18 and over","3rd country refusals, applicants aged 18 and over","Non-comp refusals, applicants aged 18 and over",Total withdrawals
2006 Q1,Total,*Total,911,852,677,42,2,633,175,1,83,22,69,59,7,4,0,3,52,4,31,9,8,115
2006 Q1,Africa,*Total Africa,327,302,245,42,2,201,57,1,30,6,20,25,5,4,0,1,20,0,9,8,3,11
2006 Q1,Americas,*Total Americas,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2006 Q1,Asia,*Total Asia,346,334,264,0,0,264,70,0,29,9,32,12,0,0,0,0,12,0,8,1,3,87
2006 Q1,Europe,*Total Europe,52,42,27,0,0,27,15,0,6,3,6,10,1,0,0,1,9,4,4,0,1,3
2006 Q1,Middle East,*Total Middle East,183,171,140,0,0,140,31,0,17,4,10,12,1,0,0,1,11,0,10,0,1,13
2006 Q1,Oceania,*Total Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Other,*Total Other,2,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Asia,Afghanistan,232,222,181,0,0,181,41,0,25,7,9,10,0,0,0,0,10,0,7,1,2,40
2006 Q1,Europe,Albania,19,15,14,0,0,14,1,0,0,1,0,4,1,0,0,1,3,2,1,0,0,2
2006 Q1,Africa,Algeria,22,18,17,1,0,16,1,0,0,0,1,4,0,0,0,0,4,0,1,3,0,5
2006 Q1,Oceania,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Europe,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Africa,Angola,8,8,5,1,0,4,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Americas,Anguilla (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Americas,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Americas,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Europe,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Americas,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Oceania,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Europe,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Europe,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Americas,"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Middle East,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Asia,Bangladesh,32,32,29,0,0,29,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Americas,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Europe,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Europe,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Americas,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Africa,Benin,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Americas,Bermuda (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006 Q1,Asia,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
