Table C1,,,,,,,,,,,,,,,,Index
"Receipts1, disposals and outstanding2 cases in the Crown Court in England and Wales, annually 2000 - 2016, quarterly Q1 2009 - Q1 2017",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Year,Quarter,All Cases,,,For trial (Triable-either-way)3,,,For trial (Indictable Only)4,,,Committed for sentence,,,Appeals against Mags' decisions,,
,,Receipts,Disposals,Cases outstanding,Receipts,Disposals,Cases outstanding,Receipts,Disposals,Cases outstanding,Receipts,Disposals,Cases outstanding,Receipts,Disposals,Cases outstanding
2000,,"112,504","116,492","31,183","70,699","73,027","24,381","1,721","1,609",717,"26,385","27,663","3,827","13,699","14,193","2,258"
20014,,"120,023","115,403","35,942","54,310","61,562","17,402","27,658","16,097","12,284","25,500","25,132","4,079","12,555","12,612","2,177"
2002,,"125,058","123,048","38,103","51,361","52,013","17,274","33,691","31,886","14,221","28,309","27,402","4,515","11,697","11,747","2,093"
2003,,"126,371","125,520","38,989","51,492","51,277","17,866","33,452","33,455","14,413","29,810","29,237","4,546","11,617","11,551","2,164"
2004,,"122,062","125,066","36,614","48,668","50,734","16,508","30,808","32,380","13,304","29,964","29,583","4,373","12,622","12,369","2,429"
2005,,"124,313","121,099","40,915","47,980","47,239","18,054","31,234","29,756","15,192","32,452","31,475","5,223","12,647","12,629","2,446"
2006,,"126,991","126,515","41,746","47,088","47,032","18,456","30,469","30,407","15,397","35,964","35,943","5,055","13,470","13,133","2,838"
2007,,"136,434","135,497","42,338","50,143","49,823","18,870","32,738","33,063","15,117","40,311","39,385","5,497","13,242","13,226","2,854"
2008,,"145,715","143,080","44,455","55,302","53,654","20,553","34,738","34,081","15,759","41,656","41,337","5,270","14,019","14,008","2,873"
2009,,"150,711","147,161","47,713","62,838","59,840","23,655","34,869","34,471","16,243","38,663","38,868","4,592","14,341","13,982","3,223"
2010,,"152,791","153,759","47,085","63,689","65,420","22,239","34,207","34,567","16,101","41,054","39,722","5,692","13,841","14,050","3,053"
2011,,"148,663","150,156","45,030","59,012","60,325","20,852","33,054","33,476","15,648","43,227","42,895","5,546","13,370","13,460","2,984"
