Table C7,,,,,,,,,,,,,,,,,,Index,,,,,,,
"Average hearing times (hours) in the Crown Court for cases1 closed, by case type and plea, England and Wales, annually 2010 - 2016, quarterly Q1 2010 - Q2 2017",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Quarter,All cases closed,,All for trial,,,,,,For trial (Triable-either-way)2,,,,,,For trial (Indictable Only),,,,,,Committed for sentence3,,Appeals against magsistrates' decision4,
,,,,All cases closed within trial cases,,By plea,,,,All cases closed within trial (triable-either-way) cases,,By plea,,,,All cases closed within trial (indictable) cases,,By plea,,,,,,,
,,,,,,Not guilty plea,,Guilty plea,,,,Not guilty plea,,Guilty plea,,,,Not guilty plea,,Guilty plea,,,,,
,,Cases closed,Average hearing time (hours),Number dealt with,Average hearing time (hours),Cases closed,Average hearing time (hours),Cases closed,Average hearing time (hours),Cases closed,Average hearing time (hours),Cases closed,Average hearing time (hours),Cases closed,Average hearing time (hours),Cases closed,Average hearing time (hours),Cases closed,Average hearing time (hours),Cases closed,Average hearing time (hours),Cases closed,Average hearing time (hours),Cases closed,Average hearing time (hours)
2010,,"144,488",2.9,"93,659",4.2,"27,012",11.4,"66,647",1.3,"61,971",2.8,"17,430",7.2,"44,541",1.1,"31,688",6.9,"9,582",18.9,"22,106",1.6,"38,099",0.5,"12,730",1.1
2011,,"141,546",3.0,"88,365",4.4,"25,979",11.7,"62,386",1.3,"57,589",3.0,"16,444",7.8,"41,145",1.1,"30,776",6.9,"9,535",18.2,"21,241",1.7,"40,920",0.5,"12,261",1.0
2012,,"132,781",3.3,"82,083",5.0,"25,137",13.0,"56,946",1.4,"51,001",3.4,"15,089",8.5,"35,912",1.2,"31,082",7.6,"10,048",19.6,"21,034",1.8,"38,991",0.5,"11,707",1.0
20135,,"123,345",3.5,"77,696",5.1,"22,759",14.1,"54,937",1.4,"45,789",3.4,"12,481",9.1,"33,308",1.2,"31,907",7.7,"10,278",20.1,"21,629",1.8,"34,684",0.6,"10,965",1.0
2014,,"124,042",3.6,"82,065",5.1,"24,192",14.0,"57,873",1.4,"51,242",3.2,"13,438",8.8,"37,804",1.3,"30,823",8.3,"10,754",20.4,"20,069",1.8,"31,730",0.6,"10,247",1.0
2015,,"125,223",3.8,"84,819",5.2,"26,209",13.6,"58,610",1.5,"54,662",3.3,"15,047",8.7,"39,615",1.3,"30,157",8.7,"11,162",20.1,"18,995",2.0,"29,724",0.6,"10,680",1.1
2016,,"120,491",3.9,"79,313",5.5,"25,679",13.8,"53,634",1.6,"50,194",3.7,"14,819",9.2,"35,375",1.4,"29,119",8.7,"10,860",20.0,"18,259",2.0,"31,153",0.7,"10,025",1.1
2010,Q1,"35,642",3.0,"23,451",4.2,"6,599",12.0,"16,852",1.2,"15,528",2.8,"4,233",7.4,"11,295",1.0,"7,923",7.1,"2,366",20.2,"5,557",1.6,"9,081",0.5,"3,110",1.0
