Back to Index,National Schedule of Reference Costs Year : 2010-11 - NHS Trusts and PCTs combined Non-Consultant Led: First Attendance Non-Admitted Non Face to Face,,,,,
,,,,,,
Notes:,,,,,,
1. National Average Unit Costs and Interquartile Ranges are weighted by activity.,,,,,,
2. UZ01Z (Data invalid for grouping) and WD (Patients with a Mental Health Primary Diagnosis [treated by a Non-Specialist Mental Health Service Provider]) prefixed HRGs have been excluded from the Schedules.,,,,,,
,,,,,,
Service Code,Service Description,Activity,National Average Unit Cost,Lower Quartile Unit Cost,Upper Quartile Unit Cost,No. Data Submissions
100,General Surgery,592,£81,£81,£81,11
101,Urology,142,£85,£26,£143,12
103,Breast Surgery,14,£10,£10,£10,1
104,Colorectal Surgery,952,£50,£53,£53,5
105,Hepatobiliary & Pancreatic Surgery,41,£42,£42,£42,1
106,Upper Gastrointestinal Surgery,1,£121,£121,£121,1
120,ENT,33,£61,£33,£74,6
130,Ophthalmology,"2,830",£38,£8,£86,13
140,Oral Surgery,95,£82,£77,£77,5
150,Neurosurgery,5,£107,£107,£107,1
160,Plastic Surgery,3,£80,£52,£135,2
170,Cardiothoracic Surgery,21,£144,£130,£173,2
180,Accident & Emergency,2,£107,£107,£107,1
190,Anaesthetics,94,£25,£25,£26,4
191,Pain Management,171,£29,£15,£38,8
253,Paediatric Clinical Haematology,8,£165,£165,£165,1
257,Paediatric Dermatology,4,£25,£25,£25,1
300,General Medicine,212,£83,£82,£94,11
303,Clinical Haematology,41,£88,£41,£121,8
307,Diabetic Medicine,"1,360",£37,£12,£45,11
311,Clinical Genetics,737,£205,£153,£425,3
312,Clinical Cytogenetics and Molecular Genetics,"14,072",£158,£158,£158,1
313,Clinical Immunology & Allergy,1,£43,£43,£43,1
314,Rehabilitation,110,£41,£41,£41,1
320,Cardiology,"2,573",£99,£55,£168,14
324,Anticoagulant Service,79,£39,£38,£38,3
330,Dermatology,"4,598",£27,£27,£27,7
340,Respiratory Medicine,286,£90,£82,£98,10
341,Respiratory Physiology,113,£91,£91,£91,1
360,Genito-Urinary Medicine,"8,355",£28,£3,£57,4
370,Medical Oncology,123,£78,£64,£108,6
400,Neurology,114,£141,£99,£99,3
401,Clinical Neuro-Physiology,1,£99,£99,£99,1
410,Rheumatology,357,£58,£45,£83,5
420,Paediatrics,663,£155,£160,£160,8
430,Geriatric Medicine,164,£115,£107,£135,7
501,Obstetrics,"1,693",£37,£28,£28,7
502,Gynaecology,"5,033",£46,£39,£50,11
503,Gynaecological Oncology,652,£10,£10,£10,2
560,Midwife Episode,"3,004",£20,£20,£20,13
653,Podiatry,"1,085",£17,£4,£30,10
655,Orthoptics,2,£66,£25,£106,2
800,Clinical Oncology,15,£166,£54,£223,3
840,Audiology,2,£29,£29,£29,1
999,Global Trust Codes,1,£12,£12,£12,1
FPC,Sexual and Reproductive Health Clinic (previously referred to as Family Planning Clinic),"9,239",£51,£38,£63,4
110N,Trauma & Orthopaedics: Non-Trauma,"9,528",£25,£25,£25,12
110T,Trauma & Orthopaedics: Trauma,1,£3,£3,£3,1
301M,Medical Gastroenterology,780,£71,£70,£79,14
650A,Physiotherapy Total Attendances - Adult (19 and Over),"31,128",£22,£16,£28,24
650C,Physiotherapy Total Attendances - Child (18 and Under),"1,560",£25,£27,£27,12
651A,Occupational Therapy Total Attendances - Adult (19 and Over),"1,580",£34,£32,£41,10
651C,Occupational Therapy Total Attendances - Child (18 and Under),191,£54,£36,£67,6
652A,Speech  &  Language Therapy Total Contacts - Adult (19 and Over),"1,993",£31,£19,£38,15
652C,Speech  &  Language Therapy Total Contacts - Child (18 and Under),"1,471",£29,£13,£34,9
654A,Dietetics Total Contacts - Adult (19 and Over),"3,815",£35,£12,£58,19
654C,Dietetics Total Contacts - Child (18 and Under),"1,240",£26,£21,£29,11
