"Table 1.03(b)   Principal offence1 for which persons charged2,3 under non-terrorism legislation where the offence is considered terrorism-related4,5",,,,,,,,,,,,,
,,,,,,,,,,,,,
Number of persons,,,,,,,,,,,,,Great Britain
,,Year of arrest,,,,,,,,,,,Total
Offence description and legislation,,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,
,,,,,,,,,,,,,
Common Law,,,,,,,,,,,,,
Murder,,-,1,1,-,-,-,-,-,-,-,-,2
Conspiracy to defraud,,-,2,2,-,-,-,-,-,-,-,-,4
Perverting the course of justice,,-,-,-,-,-,1,-,-,1,1,4,7
Offences against the Person Act 1861,,,,,,,,,,,,,
Soliciting to commit murder,,1,-,-,-,3,2,-,1,2,1,-,10
Criminal Law Act 1977 ,,,,,,,,,,,,,
Conspiracy to murder,,1,8,-,8,5,13,-,2,-,-,-,37
Conspiracy to commit armed robbery,,-,2,6,-,-,-,-,-,-,-,-,8
Conspiracy to destroy or damage property,,-,-,-,-,-,-,-,3,-,-,-,3
Conspiracy to provide money/property to be used for acts of terrorism,,-,-,-,3,-,-,-,-,-,-,-,3
Conspiracy to receive components,,-,-,-,-,-,-,-,2,-,-,-,2
Conspiracy to Breach a control order,,-,-,-,-,-,-,4,-,-,-,-,4
Conspiracy to commit a public nuisance,,-,1,-,-,-,-,-,-,-,-,-,1
Conspiracy to commit robbery,,-,-,-,-,-,-,-,-,3,-,-,3
"Conspiracy to make, distribute and use with intent forged documents",,-,-,-,4,-,-,-,-,-,-,-,4
Conspiracy to receive property,,-,-,-,-,-,-,-,1,-,-,-,1
Conspiracy to supply drugs,,-,-,-,-,-,-,-,-,1,-,-,1
Conspiracy to unlawfully acquire a firearm,,-,-,-,-,-,-,1,-,-,-,-,1
Placing or dispatching articles to cause a bomb hoax,,-,3,-,-,-,-,1,-,-,-,-,4
Criminal Law Act 1967,,,,,,,,,,,,,
Assisting offenders by impeding prosecution,,-,-,-,-,3,1,-,-,-,-,-,4
Other Offences,,,,,,,,,,,,,
Criminal Attempts Act 1981,,-,-,-,-,-,-,-,-,-,1,-,1
Criminal Damage Act 1971 & Malicious Damage Act 1861,,-,-,-,-,-,-,-,1,-,-,3,4
Criminal Justice Act 1925,,-,-,-,-,1,-,-,-,-,-,-,1
Customs Consolidation Act 1876,,-,-,-,-,-,-,-,1,-,-,-,1
Explosive Substances Act 1883,,4,2,6,2,1,3,2,-,4,-,-,24
Firearms Act 1968,,1,-,1,1,-,1,1,-,2,-,-,7
Forgery and Counterfeiting Act 1981,,-,2,-,-,-,-,-,-,-,-,-,2
Fraud Act 2006,,-,-,-,-,-,-,-,1,3,2,1,7
Identity Cards Act 2006,,-,-,-,-,-,-,-,-,-,1,-,1
Identity Documents Act 2010,,-,-,-,-,-,-,-,-,-,1,-,1
Immigration Act 1971,,-,-,-,-,-,-,-,-,-,1,1,2
Misuse of Drugs Act 1971,,-,1,-,-,-,-,1,-,-,-,-,2
Proceeds of Crime Act 2002,,-,-,-,-,-,1,-,-,-,2,-,3
Public Order Act 1986,,-,-,-,-,1,-,-,-,-,-,-,1
Theft Act 1968 & 1978,,-,4,-,1,-,-,-,-,-,-,-,5
,,,,,,,,,,,,,
TOTAL,,7,26,16,19,14,22,10,12,16,10,9,161
Source: ACPO Counter Terrorism Coordination Centre (ACTCC).,,,,,,,,,,,,,
1.     The offence shown is the principal offence for the charges made following an arrest.  When a suspect is charged with several offences the principal offence ,,,,,,,,,,,,,
        is the most serious one based upon the maximum penalty for each offence.  Where as a suspect is charged both under terrorism legislation and for a,,,,,,,,,,,,,
        non-terrorist offence the principal offence may not always be be the charge made under terrorism legislation.,,,,,,,,,,,,,
2.     Charge data are recorded by the year of arrest.,,,,,,,,,,,,,
3.     Charged here relates to the substantive charge at indictment recorded by the Crown Prosecution Service.,,,,,,,,,,,,,
4.     Based upon assessment by the ACTCC.,,,,,,,,,,,,,
5.     From 11 September 2001.,,,,,,,,,,,,,
