Table 6.5: Civil representation costs met by LAA (value £'000),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Value (£'000) of civil representation (full licensed representation) certificates completed, 2008-09 to 2016-17, with quarterly data for Apr-Jun 2011 to Jul-Sep 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Family,,,,,,,,,,,Other Non Family,,,,,,,,,,,,,,
,,Family,,,,,,,,,Immigration,"Mental 
Health","Other 
non family",,,,,,,,,,,,,,Total expenditure
Financial Year,Quarter,"Combined 
family 
proceedings",Domestic violence,Financial provision,Help with mediation,"Other family 
proceedings",Other public law Children Act proceedings,Private law Children Act proceedings,Special Children Act proceedings,Total,Total,Total,Actions against the police etc.,Clinical negligence,Community care,Consumer,Debt,Discrimination,Education,Employment,Housing,Miscellaneous,Personal injury,"Public 
law","Welfare 
Benefits",Total,
2008-09 (r),,212,"53,377","58,655","1,185","3,937","40,041","161,191","298,152","616,750","5,162",906,"2,153","18,572","2,358","4,185","1,692",0,"1,558",316,"28,564","7,574","3,283","5,089",144,"75,490","698,307"
2009-10 (r),,268,"50,608","43,522",341,"3,550","37,768","161,983","260,040","558,081","4,291","1,339","2,102","16,182","2,442","2,801","1,595",0,"1,400",360,"26,973","6,073","4,098","6,220",238,"70,483","634,194"
2010-11 (r),,202,"46,713","37,501",101,"3,839","35,572","172,421","269,511","565,860","5,129","2,592","2,383","13,586","3,000","3,188",946,0,871,488,"24,954","5,370","20,545","4,321",97,"79,751","653,331"
2011-12 (r),,163,"49,547","34,540",55,"4,773","34,696","188,766","328,501","641,041","4,927","5,010","1,784","16,233","2,845","2,106","1,030",0,716,221,"25,065","3,405","2,492","5,945",46,"61,888","712,866"
2012-13 (r),,30,"47,147","29,983",28,"4,335","35,951","174,940","407,556","699,970","4,561","5,743","1,960","13,787","2,785","1,164","1,022",0,545,144,"24,993","3,002","1,370","5,414",207,"56,391","766,665"
2013-14 (r),,30,"42,224","25,017",9,"6,022","30,585","157,827","478,596","740,310","2,845","6,407","2,102","11,059","2,427","1,081",578,0,461,87,"24,047","2,092",579,"5,134",85,"49,733","799,294"
2014-15 (r),,107,"40,868","18,190",2,"4,037","28,105","124,277","417,789","633,375","4,235","8,021","1,828","11,171","2,303",418,581,35,340,112,"23,742","1,482",871,"5,183",41,"48,107","693,738"
2015-16 (r),,21,"36,269","11,981",1,"2,427","26,600","79,280","363,484","520,063","4,465","8,487","1,559","11,826","1,887",281,361,1,144,72,"20,528","2,011",472,"4,172",42,"43,357","576,372"
2016-17 (r),,0,"33,728","7,569",0,"1,693","26,144","54,586","387,454","511,174","3,675","9,794","2,408","6,210","1,945",268,229,10,155,7,"19,261","5,795",344,"3,417",14,"40,063","564,706"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12 ,Apr-Jun (r),54,"10,820","8,273",17,"1,028","8,725","42,928","75,822","147,667","1,242","1,234",454,"5,514",419,578,319,0,111,40,"5,597","1,048","1,024","2,096",15,"17,216","167,359"
,Jul-Sep (r),36,"13,186","8,362",25,"1,462","8,151","48,381","80,323","159,926","1,515",983,471,"3,889",529,321,298,0,256,112,"6,425","1,064",227,"1,404",11,"15,009","177,434"
,Oct-Dec (r),42,"12,109","9,304",7,998,"8,912","46,225","79,554","157,150","1,300","1,162",409,"3,190",868,267,189,0,191,53,"6,435",496,"1,057","1,401",15,"14,571","174,183"
,Jan-Mar (r),31,"13,432","8,601",6,"1,285","8,908","51,233","92,802","176,297",870,"1,630",450,"3,640","1,029",940,224,0,159,15,"6,608",797,184,"1,044",4,"15,092","193,890"
