"Table Q6i - Offenders sentenced(5) in 12 months ending December 2014 , by offence group (using new ONS crime classifications) of latest, first and taking into account all previous offences cautioned(4)or convicted",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Number and percentage,,
Offence type (latest),All offenders (100%)(1),Violence against the person,Sexual offences,Robbery,Theft offences,Criminal damage and arson,Drug offences,Possession of weapons,Public order offences,Miscellaneous crimes against society,Fraud offences,Summary non motoring,Summary motoring,Unknown offences,Non England & Wales offences,Breach offences
,,,,,,,,,,,,,,,,
Indictable offences,,First offence(2),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Violence against the person,"26,974",21.0,0.6,1.8,23.3,6.1,4.7,2.3,1.8,3.6,1.3,29.2,3.4,0.3,0.5,0.0
Sexual offences,"6,494",3.7,45.8,0.8,16.3,3.3,2.8,1.5,1.1,3.7,1.5,15.2,3.2,0.6,0.6,0.0
Robbery,"5,681",4.8,0.6,20.9,28.2,4.9,4.7,3.5,1.0,3.9,0.9,24.5,1.4,0.2,0.6,0.0
Theft offences,"119,159",4.4,0.6,1.8,49.2,6.2,5.0,1.7,1.0,4.9,2.1,19.6,2.2,0.4,0.8,0.0
Criminal damage and arson,"3,016",5.8,0.8,1.2,25.2,20.9,4.0,1.9,1.3,3.6,1.2,30.5,2.8,0.5,0.4,0.0
Drug offences,"53,046",5.0,0.5,3.0,26.6,5.0,23.7,3.4,1.4,4.6,1.3,22.0,2.9,0.3,0.4,0.0
Possession of weapons,"10,271",5.3,0.7,2.8,25.0,5.4,6.0,20.4,1.5,3.7,0.9,23.9,3.2,0.4,0.7,0.0
Public order offences,"17,573",5.8,2.9,1.8,26.6,6.9,4.8,2.5,10.8,4.7,1.7,26.3,3.3,0.9,1.1,0.0
Miscellaneous crimes against society,"30,345",4.4,0.9,1.7,29.0,5.1,5.4,2.2,1.1,22.4,1.6,21.9,3.4,0.3,0.6,0.0
Fraud offences,"7,450",3.1,0.6,1.4,23.3,2.4,3.7,1.6,0.9,4.7,38.5,14.3,4.6,0.3,0.6,0.0
All Indictable offences,"280,009",6.2,1.8,2.4,35.8,5.8,8.5,2.9,1.8,6.5,2.7,21.8,2.8,0.4,0.7,0.0
,,,,,,,,,,,,,,,,
Summary offences,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Summary non motoring,"147,924",6.0,0.6,1.4,23.8,5.9,4.8,2.2,1.5,3.5,1.3,44.6,3.5,0.3,0.7,0.0
Summary motoring,"61,525",3.8,0.4,0.8,14.6,3.1,4.9,1.4,1.0,3.2,1.3,15.7,49.1,0.3,0.4,0.0
All Summary offences,"209,449",5.4,0.6,1.2,21.1,5.1,4.8,1.9,1.4,3.4,1.3,36.1,16.9,0.3,0.6,0.0
,,,,,,,,,,,,,,,,
All offences,"489,458",5.8,1.3,1.9,29.5,5.5,6.9,2.5,1.6,5.2,2.1,27.9,8.8,0.3,0.6,0.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Indictable offences,,Previous offences(3),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Violence against the person,"26,974",7.7,0.4,1.4,22.9,3.3,6.5,2.0,3.2,6.6,1.1,30.3,4.7,0.1,0.5,9.2
Sexual offences,"6,494",4.9,5.1,1.3,24.5,3.6,5.3,1.9,4.5,6.6,2.1,27.3,5.7,0.5,0.8,5.9
Robbery,"5,681",3.6,0.3,4.3,33.1,2.5,7.0,2.3,2.4,7.6,0.9,22.9,3.3,0.1,0.6,9.3
Theft offences,"119,159",2.1,0.2,1.1,50.3,2.0,5.2,1.2,1.7,7.2,1.4,14.9,2.9,0.1,0.6,9.0
Criminal damage and arson,"3,016",4.1,0.4,1.2,27.5,4.6,6.0,1.9,2.6,6.2,1.2,30.8,4.2,0.2,0.7,8.4
Drug offences,"53,046",3.4,0.2,1.7,26.2,2.5,18.5,2.3,2.0,7.8,1.2,19.5,5.5,0.1,0.4,8.7
Possession of weapons,"10,271",4.0,0.4,1.9,29.7,3.2,8.6,3.4,2.4,7.5,1.1,23.6,4.7,0.2,0.8,8.4
Public order offences,"17,573",3.1,1.1,0.8,22.9,3.8,4.1,1.4,15.6,5.4,1.1,31.8,2.4,0.3,0.6,5.7
Miscellaneous crimes against society,"30,345",3.2,0.3,1.4,32.7,2.6,7.5,1.8,2.3,9.3,1.3,22.2,5.1,0.1,0.6,9.6
Fraud offences,"7,450",2.8,0.4,1.2,32.0,2.1,6.2,1.4,1.4,8.5,9.9,17.9,6.6,0.2,0.9,8.6
All Indictable offences,"280,009",2.9,0.3,1.2,40.5,2.4,7.2,1.5,3.1,7.3,1.4,19.1,3.6,0.1,0.6,8.7
,,,,,,,,,,,,,,,,
Summary offences,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Summary non motoring,"147,924",4.3,0.4,1.1,25.2,3.3,6.1,1.8,3.4,6.5,1.1,33.7,4.1,0.1,0.7,8.0
Summary motoring,"61,525",4.6,0.3,1.1,21.6,3.0,9.1,1.8,1.9,7.6,1.7,22.6,16.0,0.2,0.6,7.7
All Summary offences,"209,449",4.3,0.4,1.1,24.7,3.3,6.5,1.8,3.2,6.6,1.2,32.2,5.8,0.2,0.7,8.0
,,,,,,,,,,,,,,,,
All offences,"489,458",3.4,0.3,1.2,35.7,2.7,7.0,1.6,3.1,7.1,1.3,23.0,4.3,0.1,0.6,8.5
"(1) Figures are based on counting the number of occasions on which offenders have previously received a conviction, caution or youth caution for any offences recorded on the Police National Computer, including some offences committed outside of England and Wales. Where there were multiple offences on the same occasion, only the primary offence as recorded on the Police National Computer would be counted.",,,,,,,,,,,,,,,,
(2) First offence is the primary offence on the first sentence or caution occasion. The same first offence may be counted more once if individual offender had multiple sentence or caution occasions over 12 months ending December 2014.,,,,,,,,,,,,,,,,
(3) Figures present the proportion of all previous primary proven offences of those offenders in the offence type.,,,,,,,,,,,,,,,,
(4) Cautions include juveniles receiving reprimands and warnings or youth cautions. Youth Cautions were introduced on April 8th 2013 replacing reprimands and warnings for young offenders.  The guidance is published at the link http://www.justice gov.uk/out-of-court-disposals ,,,,,,,,,,,,,,,,
