"C.04:   Sentence lengths for defendants tried and convicted by the Crown Prosecution Service, for terrorism-related offences1,2",,,,,,,,,
,,,,,,,,,
Numbers,,,,,,,,,England and Wales
,Date of trial completion,,,,,,,,
Offence type and sentence length3,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
,,,,,,,,,
TACT offences,,,,,,,,,
Under 1 year,-,-,1,1,2,1,1,2,2
1 year and under 4 years,9,3,4,8,8,15,18,22,16
4 years and under 10 years,2,2,2,2,7,3,16,26,21
10 years and under 20 years,1,1,4,-,11,4,-,2,9
20 years and under 30 years,-,1,1,-,2,1,-,-,-
IPP4,-,-,3,1,-,-,-,-,-
Life,-,-,-,-,1,-,3,3,8
Hospital order,1,-,-,-,-,-,1,1,-
Non-Custodial Sentence,-,-,1,-,-,-,2,4,4
,,,,,,,,,
Total TACT offences,13,7,16,12,31,24,41,60,60
,,,,,,,,,
Non-TACT offences,,,,,,,,,
Under 1 year,-,-,-,-,-,-,-,-,1
1 year and under 4 years,6,2,-,-,2,10,4,-,6
4 years and under 10 years,6,-,-,4,1,6,1,2,1
10 years and under 20 years,-,-,1,-,-,-,-,1,1
20 years and under 30 years,-,-,-,-,-,-,-,1,-
IPP4,-,-,1,-,-,-,-,-,-
Life,6,4,1,-,3,-,1,3,2
Hospital order,-,-,-,1,-,1,-,-,-
Non-Custodial Sentence,-,1,-,-,-,1,-,1,1
,,,,,,,,,
Total Non-TACT offences,18,7,3,5,6,18,6,8,12
,,,,,,,,,
Total terrorism-related offences,,,,,,,,,
Under 1 year,-,-,1,1,2,1,1,2,3
1 year and under 4 years,15,5,4,8,10,25,22,22,22
4 years and under 10 years,8,2,2,6,8,9,17,28,22
10 years and under 20 years,1,1,5,-,11,4,-,3,10
20 years and under 30 years,-,1,1,-,2,1,-,1,-
IPP4,-,-,4,1,-,-,-,-,-
Life,6,4,1,-,4,-,4,6,10
Hospital order,1,-,-,1,-,1,1,1,-
Non-Custodial Sentence,-,1,1,-,-,1,2,5,5
,,,,,,,,,
Total all offences,31,14,19,17,37,42,47,68,72
of which:,,,,,,,,,
Guilty plea,12,7,15,14,31,27,21,30,37
Not guilty plea,19,7,4,3,6,15,26,38,35
Source: Crown Prosecution Service Counter Terrorism Division.,,,,,,,,,
,,,,,,,,,
' - ' = Nil,,,,,,,,,
1. Refers to those dealt with by the Crown Prosecution Service Counter Terrorism Division only.,,,,,,,,,
"2. Data in this table are presented on the principal offence basis. This means that, when a person is tried for multiple offences in the same trial, the most serious offence with the largest sentence is shown in the table.",,,,,,,,,
3. Custodial sentences presented here include suspended sentences.,,,,,,,,,
