"Table 4.03: Arrests of persons where age unknown by sex, offence group and police force area: 2008/09 to 2012/13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,Females,,,,,,,,,,,,,Males and Females,,,,,,,,,,
,,Violence against the person,Sexual offences,Robbery,Burglary,Theft & handling,Fraud & forgery,Criminal damage,Drug offences,Other offences,Total,,,,Violence against the person,Sexual offences,Robbery,Burglary,Theft & handling,Fraud & forgery,Criminal damage,Drug offences,Other offences,Total,,,Violence against the person,Sexual offences,Robbery,Burglary,Theft & handling,Fraud & forgery,Criminal damage,Drug offences,Other offences,Total
2008/09,Avon & Somerset,0,0,0,0,0,0,0,0,0,0,,2008/09,Avon & Somerset,0,0,0,0,0,0,1,0,0,1,,Avon & Somerset,0,0,0,0,0,0,1,0,0,1
,Bedfordshire,3,0,0,0,0,0,2,0,33,38,,,Bedfordshire,0,0,0,0,0,0,0,0,4,4,,Bedfordshire,3,0,0,0,0,0,2,0,37,42
,Cambridgeshire,2,1,0,0,2,1,2,0,38,46,,,Cambridgeshire,0,0,0,0,0,0,0,0,2,2,,Cambridgeshire,2,1,0,0,2,1,2,0,40,48
,Cheshire,0,0,0,1,1,0,0,0,0,2,,,Cheshire,0,0,0,0,1,0,0,0,0,1,,Cheshire,0,0,0,1,2,0,0,0,0,3
,Cleveland,80,2,1,11,24,0,27,5,19,169,,,Cleveland,21,0,0,3,7,0,1,3,0,35,,Cleveland,101,2,1,14,31,0,28,8,19,204
,Cumbria,36,1,0,1,3,2,15,1,1,60,,,Cumbria,13,0,0,0,0,0,3,0,0,16,,Cumbria,49,1,0,1,3,2,18,1,1,76
,Derbyshire,5,0,0,0,3,1,4,0,22,35,,,Derbyshire,3,0,0,0,0,0,0,0,1,4,,Derbyshire,8,0,0,0,3,1,4,0,23,39
,Devon & Cornwall,4,0,0,0,3,0,1,0,2,10,,,Devon & Cornwall,2,0,0,0,0,0,0,0,1,3,,Devon & Cornwall,6,0,0,0,3,0,1,0,3,13
,Dorset,6,0,0,1,8,1,2,3,1,22,,,Dorset,0,0,0,0,0,0,0,0,0,0,,Dorset,6,0,0,1,8,1,2,3,1,22
,Durham,29,3,0,2,4,0,15,4,3,60,,,Durham,8,0,0,0,3,0,2,0,3,16,,Durham,37,3,0,2,7,0,17,4,6,76
,Dyfed-Powys,0,0,0,0,0,0,0,0,0,0,,,Dyfed-Powys,0,0,0,0,0,0,0,0,0,0,,Dyfed-Powys,0,0,0,0,0,0,0,0,0,0
,Essex,8,2,2,0,5,0,2,1,30,50,,,Essex,3,0,0,0,2,0,0,0,7,12,,Essex,11,2,2,0,7,0,2,1,37,62
,Gloucestershire,1,0,0,2,4,1,5,0,11,24,,,Gloucestershire,4,0,0,0,0,0,1,0,2,7,,Gloucestershire,5,0,0,2,4,1,6,0,13,31
,Greater Manchester,13,0,0,1,64,1,3,2,11,95,,,Greater Manchester,2,0,0,0,8,0,0,1,1,12,,Greater Manchester,15,0,0,1,72,1,3,3,12,107
,Gwent,1,0,0,1,3,0,0,0,19,24,,,Gwent,0,0,0,0,0,0,0,0,3,3,,Gwent,1,0,0,1,3,0,0,0,22,27
,Hampshire,6,1,0,2,4,0,3,0,0,16,,,Hampshire,1,0,0,0,1,0,1,0,0,3,,Hampshire,7,1,0,2,5,0,4,0,0,19
,Hertfordshire,4,1,0,0,0,2,1,2,1,11,,,Hertfordshire,0,0,0,0,1,0,0,0,0,1,,Hertfordshire,4,1,0,0,1,2,1,2,1,12
,Humberside,5,0,0,1,1,0,4,0,12,23,,,Humberside,0,0,0,0,0,0,1,0,2,3,,Humberside,5,0,0,1,1,0,5,0,14,26
