Table 2: Population in prison by offence - remand and immediate custodial sentence,,,,,,,,
,Jun-08,,,Jun-09,,,Percentage change 2008 to 2009,
,Remand,Immediate custodial sentence,,Remand,Immediate custodial sentence,,Remand,Immediate custodial sentence
,,,,,,,,
All prisoners,"13,440","68,124",,"13,456","68,375",,0,0
Violence against the person,"3,445","18,980",,"3,444","19,950",,0,5
Sexual offences,917,"7,616",,928,"7,972",,1,5
Robbery,"1,395","8,733",,"1,431","9,049",,3,4
Burglary,"1,522","7,935",,"1,486","7,884",,-2,-1
Theft and Handling,"1,054","3,836",,931,"3,382",,-12,-12
Fraud and Forgery,477,"2,020",,466,"1,875",,-2,-7
Drug offences,"1,852","10,982",,"1,919","10,696",,4,-3
Motoring offences,130,"1,377",,129,"1,149",,-1,-17
Other offences,"1,903","6,486",,"1,942","6,117",,2,-6
Offence not recorded,745,160,,781,300,,5,87
,,,,,,,,
All male prisoners,"12,566","64,600",,"12,617","64,993",,0,1
Violence against the person,"3,280","18,204",,"3,267","19,111",,0,5
Sexual offences,911,"7,569",,913,"7,918",,0,5
Robbery,"1,331","8,437",,"1,361","8,715",,2,3
Burglary,"1,455","7,733",,"1,437","7,678",,-1,-1
Theft and Handling,930,"3,373",,823,"2,963",,-12,-12
Fraud and Forgery,398,"1,725",,410,"1,628",,3,-6
Drug offences,"1,708","9,992",,"1,787","9,803",,5,-2
Motoring offences,127,"1,356",,128,"1,130",,1,-17
Other offences,"1,765","6,068",,"1,796","5,758",,2,-5
Offence not recorded,661,144,,695,288,,5,100
,,,,,,,,
All female prisoners,874,"3,524",,839,"3,382",,-4,-4
Violence against the person,165,775,,177,840,,7,8
Sexual offences,6,47,,15,54,,*,*
Robbery,64,295,,70,334,,9,13
Burglary,67,203,,49,207,,*,2
Theft and Handling,124,462,,108,418,,-13,-9
Fraud and Forgery,79,295,,56,246,,-29,-16
Drug offences,144,990,,132,893,,-9,-10
Motoring offences,3,22,,1,19,,*,*
Other offences,138,418,,146,359,,6,-14
Offence not recorded,84,16,,85,12,,2,*
,,,,,,,,
All adult prisoners,"10,834","58,768",,"10,832","59,242",,0,1
Violence against the person,"2,725","16,294",,"2,720","17,304",,0,6
Sexual offences,808,"7,193",,817,"7,542",,1,5
Robbery,837,"6,528",,873,"6,763",,4,4
Burglary,"1,191","6,698",,"1,114","6,621",,-6,-1
Theft and Handling,880,"3,293",,758,"2,917",,-14,-11
Fraud and Forgery,445,"1,970",,441,"1,825",,-1,-7
Drug offences,"1,617","10,075",,"1,692","9,841",,5,-2
Motoring offences,109,"1,199",,107,"1,024",,-2,-15
Other offences,"1,569","5,387",,"1,604","5,153",,2,-4
Offence not recorded,653,131,,707,252,,8,92
,,,,,,,,
All adult male prisoners,"10,067","55,621",,"10,105","56,168",,0,1
Violence against the person,"2,583","15,644",,"2,577","16,583",,0,6
Sexual offences,801,"7,146",,804,"7,491",,0,5
Robbery,791,"6,291",,815,"6,489",,3,3
