,,,,,,1/16/15
,,,,,,
Population and Capacity Briefing for Friday 16/01/2015,,,,,,
,,,,,,
,Total ,,Prisons,NOMS Operated IRCs,,
Population,"84,802",,"83,437","1,365",,
Male population,"80,995",,"79,630","1,365",,
Female population,"3,807",,"3,807",0,,
,,,,,,
Useable Operational Capacity,"88,198",,"86,638","1,560",,
,,,,,,
Home Detention Curfew caseload,"2,083",,,,,
,,,,,,
Definitions:,,,,,,
,,,,,,
"1 - The Operational Capacity of a Prison / Immigration Removal Centre (IRC) is the total number of prisoners that an establishment can hold taking into account control, security and the proper operation of the planned regime. It is determined by Deputy Directors of Custody on the basis of operational judgement and experience.",,,,,,
,,,,,,
"2 - Useable Operational Capacity of the estate is the sum of all establishments’ operational capacity less 2,000 places. This is known as the operating margin and reflects the constraints imposed by the need to provide separate accommodation for different classes of prisoner i.e. by sex, age, security category, conviction status, single cell risk assessment and also due to geographical distribution.",,,,,,
,,,,,,
Population and Capacity on previous Fridays,,,,,,
,,,,,,
,Last week,,12 months ago,,,
Population,"84,731",,"84,523",,,
Male population,"80,915",,"80,667",,,
Female population,"3,816",,"3,856",,,
,,,,,,
Useable Operational Capacity,"88,184",,"85,822",,,
,,,,,,
Home Detention Curfew caseload,"2,094",,"2,396",,,
