"Table A1.16 Prison population under immediate custodial sentence by detailed sentence length, age group and sex, 2002 to 2014, England and Wales",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,30-Jun-02,30-Jun-03,30-Jun-04,30-Jun-05,30-Jun-06,30-Jun-07,30-Jun-08,30-Jun-09,30-Jun-09(1),30-Jun-10,30-Jun-11,30-Jun-12,30-Jun-13,30-Jun-14
,,,,,,,,,,,,,,
Males and females,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
All,"57,272","59,393","60,924","62,179","63,404","65,533","68,124","68,375","68,461","70,871","71,835","73,435","70,781","71,361"
,,,,,,,,,,,,,,
Less than or equal to 6 months,"5,447","5,971","5,751","6,009","5,960","5,165","5,873","5,114","5,131","5,343","5,441","5,003","4,643","4,569"
Up to and including 3 months,"1,656","1,808","1,813","1,882","1,824","1,568","1,846","1,785","1,610","1,863","1,956","1,668","1,534","1,481"
Over 3 months up to and including 6 months ,"3,791","4,163","3,939","4,127","4,136","3,597","4,027","3,330","3,450","3,281","3,327","3,161","2,970","2,959"
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,71,199,158,174,139,129
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,"2,349","2,209","2,306","2,225","2,525","2,462","2,866","2,465","2,433","2,502","2,373","2,473","2,153","2,081"
,,,,,,,,,,,,,,
12 months to less than 4 years,"21,858","21,378","21,436","21,628","21,619","22,840","23,632","23,778","20,362","20,857","20,392","21,304","19,373","19,589"
12 months   ,"1,823","1,577","1,679","1,778","2,081","2,234","2,276","2,052","1,741","1,584","1,562","1,445","1,282","1,271"
Over 12 months up to and including 18 months,"3,760","3,365","3,366","3,510","3,767","4,070","4,291","4,288","3,639","3,833","3,727","3,856","3,142","2,980"
Over 18 months up to and including 3 years,"11,889","11,616","11,492","11,344","11,586","12,710","13,363","13,623","11,639","11,483","11,184","11,871","10,955","11,210"
Over 3 years up to and less than 4 years  ,"4,386","4,821","4,899","4,996","4,185","3,826","3,702","3,815","3,322","3,431","3,411","3,544","3,641","3,854"
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,21,526,508,588,353,274
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),"22,471","24,416","25,837","26,435","26,026","25,586","24,371","24,497","22,395","23,685","24,339","25,484","26,322","27,275"
4 years,"3,690","3,928","4,077","3,900","3,556","3,537","3,464","3,787","3,308","3,190","3,156","3,228","2,921","2,689"
Over 4 years up to and including 5 years,"5,722","6,273","6,708","6,773","6,473","6,058","5,381","5,576","4,989","5,126","5,025","5,165","5,050","4,839"
Over 5 years up to and including 10 years,"10,292","11,232","11,875","12,457","12,615","12,453","11,963","11,439","10,568","11,051","11,557","12,207","12,877","13,298"
Over 10 years less than indeterminate,"2,766","2,982","3,176","3,305","3,383","3,537","3,562","3,695","3,530","3,801","4,038","4,256","4,956","5,534"
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,517,563,628,518,915
,,,,,,,,,,,,,,
Indeterminate,"5,147","5,419","5,594","5,882","7,274","9,481","11,382","12,521","12,182","13,134","13,644","13,754","13,182","12,587"
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,"5,958","5,350","5,646","5,417","5,108","5,260"
,,,,,,,,,,,,,,
Adults,"49,006","51,570","53,280","54,479","55,552","57,015","59,435","59,970","60,186","63,063","64,530","66,589","65,224","66,472"
,,,,,,,,,,,,,,
Less than or equal to 6 months,"4,135","4,633","4,475","4,680","4,661","3,775","4,507","4,014","4,089","4,335","4,502","4,198","4,069","4,062"
Up to and including 3 months,"1,340","1,476","1,522","1,575","1,483","1,147","1,482","1,428","1,331","1,521","1,649","1,377","1,337","1,292"
Over 3 months up to and including 6 months ,"2,795","3,157","2,953","3,105","3,178","2,628","3,025","2,586","2,690","2,642","2,715","2,658","2,605","2,652"
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,68,172,138,163,127,118
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,"1,619","1,620","1,660","1,632","1,908","1,815","2,166","1,883","1,859","1,956","1,892","2,026","1,871","1,837"
,,,,,,,,,,,,,,
12 months to less than 4 years,"17,266","17,181","17,482","17,596","17,462","18,403","19,197","19,384","16,525","17,125","16,964","17,936","16,605","17,178"
12 months   ,"1,205","1,063","1,190","1,235","1,505","1,595","1,697","1,512","1,251","1,180","1,174","1,115","1,013","1,060"
Over 12 months up to and including 18 months,"2,685","2,471","2,491","2,659","2,846","3,089","3,277","3,324","2,804","3,020","3,023","3,111","2,599","2,586"
Over 18 months up to and including 3 years,"9,589","9,502","9,532","9,360","9,515","10,395","11,004","11,262","9,594","9,536","9,369","10,055","9,428","9,826"
Over 3 years up to and less than 4 years  ,"3,787","4,145","4,268","4,342","3,597","3,324","3,219","3,285","2,856","2,950","2,962","3,124","3,240","3,445"
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,20,439,436,531,325,261
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),"20,962","22,859","24,215","24,848","24,565","24,123","22,887","22,793","20,799","22,094","22,745","23,979","24,924","26,009"
4 years,"3,214","3,481","3,617","3,457","3,145","3,061","3,009","3,259","2,834","2,780","2,777","2,905","2,645","2,442"
Over 4 years up to and including 5 years,"5,180","5,729","6,099","6,177","5,952","5,593","4,894","5,012","4,449","4,602","4,527","4,690","4,658","4,507"
Over 5 years up to and including 10 years,"9,822","10,696","11,348","11,942","12,122","11,971","11,444","10,865","10,016","10,493","10,957","11,596","12,251","12,748"
Over 10 years less than indeterminate,"2,746","2,953","3,151","3,272","3,346","3,499","3,541","3,658","3,500","3,767","4,006","4,203","4,894","5,466"
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,452,478,585,476,846
,,,,,,,,,,,,,,
