,,,,,,10/28/16
,,,,,,
Population and Capacity Briefing for Friday 28th October 2016,,,,,`,
,,,,,,
,Total ,,Prisons,NOMS Operated IRCs,,
Population,"85,998",,"85,108",890,,
Male population,"82,096",,"81,206",890,,
Female population,"3,902",,"3,902",0,,
,,,,,,
Useable Operational Capacity,"87,118",,"86,146",972,,
,,,,,,
Home Detention Curfew caseload,"2,010*",,*HDC figure revised on 1st November 2016,,,
,,,,,,
Definitions:,,,,,,
,,,,,,
"1 - The Operational Capacity of a Prison / Immigration Removal Centre (IRC) is the total number of prisoners that an establishment can hold taking into account control, security and the proper operation of the planned regime. It is determined by Deputy Directors of Custody on the basis of operational judgement and experience.",,,,,,
,,,,,,
"2 - Useable Operational Capacity of the estate is the sum of all establishments’ operational capacity less 2,000 places. This is known as the operating margin and reflects the constraints imposed by the need to provide separate accommodation for different classes of prisoner i.e. by sex, age, security category, conviction status, single cell risk assessment and also due to geographical distribution.",,,,,,
,,,,,,
Population and Capacity on previous Fridays,,,,,,
,,,,,,
,Last week,,12 months ago,,,
Population,"85,898",,"85,843",,,
Male population,"82,041",,"81,900",,,
Female population,"3,857",,"3,943",,,
,,,,,,
Useable Operational Capacity,"87,128",,"88,176",,,
,,,,,,
Home Detention Curfew caseload,"1,976",,Data not available,,,
