,,,,,,10/9/15,,1.0,January,1.0,st
,,,,,,,,2.0,February,2.0,nd
Population and Capacity Briefing for Friday 9th October 2015,,,,,,,,3.0,March,3.0,rd
,,,,,,,,4.0,April,4.0,th
,Total ,,Prisons,NOMS Operated IRCs,,,,5.0,May,5.0,th
Population,"86,145",,"84,926","1,219",,,,6.0,June,6.0,th
Male population,"82,237",,"81,018","1,219",,,,7.0,July,7.0,th
Female population,"3,908",,"3,908",0,,,,8.0,August,8.0,th
,,,,,,,,9.0,September,9.0,th
Useable Operational Capacity,"88,039",,"86,666","1,373",,,,10.0,October,10.0,th
,,,,,,,,11.0,November,11.0,th
Home Detention Curfew caseload,"2,099",,,,,,,12.0,December,12.0,th
,,,,,,,,,,13.0,th
Definitions:,,,,,,,,,,14.0,th
,,,,,,,,,,15.0,th
"1 - The Operational Capacity of a Prison / Immigration Removal Centre (IRC) is the total number of prisoners that an establishment can hold taking into account control, security and the proper operation of the planned regime. It is determined by Deputy Directors of Custody on the basis of operational judgement and experience.",,,,,,,,,,16.0,th
,,,,,,,,,,17.0,th
"2 - Useable Operational Capacity of the estate is the sum of all establishments’ operational capacity less 2,000 places. This is known as the operating margin and reflects the constraints imposed by the need to provide separate accommodation for different classes of prisoner i.e. by sex, age, security category, conviction status, single cell risk assessment and also due to geographical distribution.",,,,,,,,,,18.0,th
,,,,,,,,,,19.0,th
Population and Capacity on previous Fridays,,,,,,,,,,20.0,th
,,,,,,,,,,21.0,st
,Last week,,12 months ago,,,,,,,22.0,nd
Population,"85,973",,"85,625",,,,,,,23.0,rd
Male population,"82,078",,"81,723",,,,,,,24.0,th
Female population,"3,895",,"3,902",,,,,,,25.0,th
,,,,,,,,,,26.0,th
Useable Operational Capacity,"88,075",,"87,879",,,,,,,27.0,th
,,,,,,,,,,28.0,th
Home Detention Curfew caseload,"2,081",,"2,068",,,,,,,29.0,th
,,,,,,,,,,30.0,th
,,,,,,,,,,31.0,st
