Table of Contents,
"Table 1.1 Prison population by type of custody, age group and gender, 30 June 2013 to 30 June 2014, England and Wales",Table 1.1
,
"Table 1.2a Prison population remanded in custody by offence group, age group and sex, 30 June 2013 to 30 June 2014, England and Wales",Table 1.2a
,
"Table 1.2b Prison population under an immediate custodial sentence by offence group, age group and sex, 30 June 2013 to 30 June 2014, England and Wales",Table 1.2b
,
"Table 1.3 Prison population by type of custody, age and sex, 30 June 2013 to 30 June 2014, England and Wales",Table 1.3
,
"Table 1.4 Prison population by sex and ethnic group, 30 June 2013 to 30 June 2014, England and Wales",Table 1.4
,
"Table 1.5 Prison population by religion and sex, 30 June 2013 to 30 June 2014, England and Wales",Table 1.5
,
"Table 1.6 Prison population by type of custody and nationality status, 30 June 2013 to 30 June 2014, England and Wales",Table 1.6
,
"Table 1.7 Prison population by establishment, nationality status and sex, 30 June 2014, England and Wales",Table 1.7
,
"Table 1.8 Prison population by nationality and sex, 30 June 2014, England and Wales",Table 1.8
,
"Table 1.9 Indeterminate sentence prisoner population, by tariff length and tariff expiry date,  30 June 2014, England and Wales",Table 1.9
,
"Table 1.10 Population detained by type of accommodation, 30 June 2013 to 30 June 2014, England and Wales",Table 1.10
