Return to contents page,,,,,,,,,,,,,,,,,
"Table C1a: Adult proven reoffending data, by index disposal1",,,,,,,,,,,,,,,,,
,2004,2005,Apr 2005 to Mar 2006,Apr 2006 to Mar 2007,Apr 2007 to Mar 2008,Apr 2008 to Mar 2009,Apr 2009 to Mar 2010,Apr 2010 to Mar 2011,Apr 2011 to Mar 2012,Apr 2012 to Mar 2013,Apr 2013 to Mar 2014,Apr 2014 to Mar 2015,,Percentage change 2004 to Mar 2015,,Percentage change Apr 2013 to Mar 2014 to Apr 2014 to Mar 2015,
Caution,,,,,,,,,,,,,,,,,
Proportion of offenders who reoffend (%),15.6,16.4,16.6,17.6,17.7,18.3,17.5,17.7,17.5,17.0,17.2,15.9,,0.3,pp,-1.3,pp
Average number of reoffences per reoffender,2.45,2.44,2.44,2.42,2.42,2.36,2.31,2.35,2.32,2.40,2.49,2.53,,3.2%,,1.9%,
Number of reoffences,"59,568","73,865","78,767","96,206","101,900","97,753","82,518","80,481","72,935","65,929","63,747","50,309",,-15.5%,,-21.1%,
Number of reoffenders,"24,275","30,277","32,292","39,834","42,174","41,446","35,750","34,230","31,396","27,416","25,635","19,857",,-18.2%,,-22.5%,
Number of offenders in cohort,"155,844","184,381","194,537","226,711","237,602","226,639","204,772","193,769","179,245","161,423","149,052","125,223",,-19.6%,,-16.0%,
,,,,,,,,,,,,,,,,,
Absolute/Conditional Discharge,,,,,,,,,,,,,,,,,
Proportion of offenders who reoffend (%),33.1,33.4,33.0,33.4,34.1,35.6,33.7,33.7,33.6,33.5,32.9,30.5,,-2.6,pp,-2.4,pp
Average number of reoffences per reoffender,3.56,3.46,3.43,3.37,3.40,3.35,3.24,3.27,3.27,3.39,3.47,3.45,,-2.9%,,-0.3%,
Number of reoffences,"86,410","79,867","78,930","72,770","77,657","73,645","68,759","73,062","69,013","66,222","65,389","58,211",,-32.6%,,-11.0%,
Number of reoffenders,"24,285","23,055","23,043","21,609","22,850","21,992","21,215","22,372","21,112","19,538","18,871","16,849",,-30.6%,,-10.7%,
Number of offenders in cohort,"73,381","68,978","69,723","64,702","66,935","61,730","62,860","66,349","62,922","58,297","57,392","55,316",,-24.6%,,-3.6%,
,,,,,,,,,,,,,,,,,
Fine,,,,,,,,,,,,,,,,,
Proportion of offenders who reoffend (%),27.8,27.7,27.7,27.3,28.3,29.4,28.9,30.0,29.4,28.8,28.5,27.4,,-0.4,pp,-1.2,pp
Average number of reoffences per reoffender,3.45,3.30,3.26,3.25,3.28,3.21,3.12,3.21,3.24,3.34,3.39,3.45,,-0.1%,,1.7%,
Number of reoffences,"164,317","146,773","145,429","134,899","142,790","146,072","138,399","144,124","139,251","130,093","131,083","123,413",,-24.9%,,-5.9%,
Number of reoffenders,"47,667","44,422","44,640","41,522","43,575","45,513","44,396","44,902","43,039","38,953","38,679","35,821",,-24.9%,,-7.4%,
Number of offenders in cohort,"171,650","160,096","160,960","151,956","153,736","154,610","153,867","149,707","146,518","135,038","135,506","130,797",,-23.8%,,-3.5%,
,,,,,,,,,,,,,,,,,
Court Order2,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,
Proportion of offenders who reoffend (%),37.4,36.2,35.8,35.7,35.8,35.5,34.1,34.2,34.0,33.8,34.0,32.0,,-5.4,pp,-1.9,pp
Average number of reoffences per reoffender,3.62,3.42,3.35,3.24,3.25,3.20,3.09,3.19,3.23,3.38,3.52,3.57,,-1.2%,,1.6%,
Number of reoffences,"147,943","144,676","148,461","154,898","163,802","165,588","153,707","158,754","152,907","143,560","147,684","141,516",,-4.3%,,-4.2%,
Number of reoffenders,"40,899","42,279","44,335","47,753","50,337","51,716","49,782","49,709","47,293","42,464","42,008","39,608",,-3.2%,,-5.7%,
Number of offenders in cohort,"109,375","116,724","123,747","133,943","140,479","145,822","145,822","145,493","139,160","125,496","123,665","123,683",,13.1%,,0.0%,
,,,,,,,,,,,,,,,,,
All pre CJA orders,,,,,,,,,,,,,,,,,
Proportion of offenders who reoffend (%),37.4,35.2,33.0,24.2,31.6,37.4,44.2,31.0,26.3,*,*,*,,*,pp,*,pp
Average number of reoffences per reoffender,3.62,3.40,3.24,3.04,3.14,3.42,3.00,3.18,5.70,*,*,*,,*,,*,
Number of reoffences,"147,943","80,141","46,572","3,361","1,308",830,658,140,57,29,0,0,,*,,*,
Number of reoffenders,"40,899","23,595","14,363","1,107",417,243,219,44,10,5,0,0,,*,,*,
Number of offenders in cohort,"109,375","67,059","43,507","4,579","1,320",649,495,142,38,22,11,5,,*,,*,
,,,,,,,,,,,,,,,,,
Community Order3,,,,,,,,,,,,,,,,,
Proportion of offenders who reoffend (%),-,37.7,37.5,36.6,36.6,36.5,35.4,35.6,35.6,35.5,35.5,33.1,,-,pp,-2.4,pp
Average number of reoffences per reoffender,-,3.48,3.43,3.29,3.32,3.25,3.16,3.27,3.32,3.44,3.55,3.62,,-,,2.0%,
Number of reoffences,-,"59,447","91,451","119,991","125,682","129,740","119,768","123,675","119,100","109,478","107,071","97,268",,-,,-9.2%,
Number of reoffenders,-,"17,104","26,700","36,490","37,854","39,954","37,938","37,833","35,869","31,825","30,175","26,882",,-,,-10.9%,
Number of offenders in cohort,-,"45,314","71,192","99,810","103,516","109,425","107,281","106,240","100,739","89,638","85,028","81,247",,-,,-4.4%,
,,,,,,,,,,,,,,,,,
Suspended Sentence Order - with requirements3,,,,,,,,,,,,,,,,,
Proportion of offenders who reoffend (%),-,36.3,36.2,34.4,33.9,32.2,30.6,30.3,29.7,29.7,30.2,29.3,,-,pp,-0.9,pp
Average number of reoffences per reoffender,-,3.22,3.19,3.11,3.05,3.04,2.86,2.95,2.96,3.20,3.33,3.31,,-,,-0.8%,
Number of reoffences,-,"5,088","10,438","31,546","36,812","35,018","33,281","34,939","33,750","34,053","35,438","36,022",,-,,1.6%,
Number of reoffenders,-,"1,580","3,272","10,156","12,066","11,519","11,625","11,832","11,414","10,634","10,630","10,887",,-,,2.4%,
Number of offenders in cohort,-,"4,351","9,048","29,554","35,643","35,748","38,046","39,111","38,383","35,836","35,199","37,154",,-,,5.6%,
,,,,,,,,,,,,,,,,,
