"Table 2: Early estimates of proven re-offending rates for Prolific and other Priority Offenders, by upper-tier local authority1: 2009-2010",,,,,
,,,,,
,Jan 2009 to Dec 2009,Apr 2009 to Mar 2010,Jul 2009 to Jun 2010,Oct 2009 to Sep 2010,Jan 2010 to Dec 2010
,,,,,
Barking and Dagenham,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,10,5,4,6,2
Number of offenders in cohort,14,13,14,13,11
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Barnet,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,21,27,12,11,12
Number of offenders in cohort,17,19,19,20,16
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Barnsley,,,,,
Proportion of offenders who re-offend (%),34.3,14.3,30.6,37.1,48.4
Average number of re-offences per re-offender,*,*,*,3.00,2.13
Average number of re-offences per offender,*,*,*,1.11,1.03
Number of re-offences,27,15,26,39,32
Number of offenders in cohort,35,35,36,35,31
Average number of previous offences per offender,64.3,61.8,62.1,62.1,63.3
,,,,,
Bath and North East Somerset,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,7,16,27,20,18
Number of offenders in cohort,16,21,21,20,20
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Bedford,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,29,27,17,24,11
Number of offenders in cohort,23,18,19,19,16
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Bexley,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,3,7,3,5,8
Number of offenders in cohort,17,21,17,14,17
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Birmingham,,,,,
Proportion of offenders who re-offend (%),31.0,29.6,32.6,32.3,32.2
Average number of re-offences per re-offender,2.37,2.25,1.99,2.15,1.87
Average number of re-offences per offender,0.74,0.67,0.65,0.69,0.60
Number of re-offences,178,169,155,161,144
Number of offenders in cohort,242,253,239,232,239
Average number of previous offences per offender,43.7,46.3,47.4,49.8,50.3
,,,,,
Blackburn with Darwen,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,38,58,61,19,17
Number of offenders in cohort,25,27,24,20,17
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Blackpool,,,,,
Proportion of offenders who re-offend (%),39.1,38.5,43.2,*,*
Average number of re-offences per re-offender,2.67,2.80,2.31,*,*
Average number of re-offences per offender,1.04,1.08,1.00,*,*
Number of re-offences,48,42,37,32,51
Number of offenders in cohort,46,39,37,28,29
Average number of previous offences per offender,58.3,61.3,63.6,*,*
,,,,,
Blaenau Gwent,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,17,13,13,5,5
Number of offenders in cohort,13,13,15,14,14
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Bolton,,,,,
Proportion of offenders who re-offend (%),39.4,37.3,54.3,36.0,40.4
Average number of re-offences per re-offender,2.77,2.41,2.52,3.00,2.96
Average number of re-offences per offender,1.09,0.90,1.37,1.08,1.19
Number of re-offences,72,53,63,54,68
Number of offenders in cohort,66,59,46,50,57
Average number of previous offences per offender,57.2,60.5,66.1,68.8,65.0
,,,,,
Bournemouth,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,24,25,17,11,24
Number of offenders in cohort,17,15,16,19,22
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Bracknell Forest,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,18,28,20,23,23
Number of offenders in cohort,10,16,18,18,18
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Bradford,,,,,
Proportion of offenders who re-offend (%),32.5,26.5,28.8,28.4,21.1
Average number of re-offences per re-offender,2.38,1.95,2.13,2.05,2.33
Average number of re-offences per offender,0.78,0.52,0.61,0.58,0.49
Number of re-offences,62,43,49,43,35
Number of offenders in cohort,80,83,80,74,71
Average number of previous offences per offender,46.0,48.7,50.9,49.9,51.0
,,,,,
Brent,,,,,
Proportion of offenders who re-offend (%),*,*,*,*,*
Average number of re-offences per re-offender,*,*,*,*,*
Average number of re-offences per offender,*,*,*,*,*
Number of re-offences,8,5,14,16,17
Number of offenders in cohort,18,25,25,23,26
Average number of previous offences per offender,*,*,*,*,*
,,,,,
Bridgend,,,,,
Proportion of offenders who re-offend (%),*,43.3,*,*,*
Average number of re-offences per re-offender,*,2.62,*,*,*
Average number of re-offences per offender,*,1.13,*,*,*
Number of re-offences,27,34,32,29,23
Number of offenders in cohort,21,30,23,19,23
Average number of previous offences per offender,*,87.4,*,*,*
,,,,,
