Return to contents page,,,,,,,,,,,,,,,,,
"Table 6c: Adult and juvenile proven re-offending data, by number of previous offences, 2000, 2002 to June 2011¹",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,2000,2002,2003,2004,2005,12 months ending June 2006,12 months ending June 2007,12 months ending June 2008,12 months ending June 2009,12 months ending June 2010,12 months ending June 2011,,"Percentage
change
2000 to 12 months ending June 2011²",,"Percentage change
12 months ending
June 2010 to
12 months ending
June 2011²",
Previous offence,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
No previous offences,,,,,,,,,,,,,,,,,
Proportion of offenders who re-offend (%),,13.7,13.4,13.4,13.5,13.9,13.9,13.6,12.7,12.0,11.5,11.3,,-2.3,pp,-0.2,pp
Average number of re-offences per re-offender,,2.17,2.16,2.13,2.11,2.06,2.04,2.00,2.00,1.97,2.04,2.07,,-4.3%,,1.6%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,13.7,13.4,13.3,13.4,13.3,13.2,13.2,13.0,12.7,12.1,11.7,,-,,-,
Average number of re-offences per offender (frequency rate),,0.30,0.29,0.29,0.28,0.29,0.28,0.27,0.25,0.24,0.23,0.23,,-20.7%,,-0.2%,
Number of re-offences,,"75,270","72,389","74,969","76,289","84,288","86,177","84,356","73,714","61,020","53,253","47,922",,-36.3%,,-10.0%,
Number of re-offenders,,"34,761","33,565","35,150","36,156","40,822","42,269","42,119","36,818","30,919","26,114","23,122",,-33.5%,,-11.5%,
Number of offenders in cohort,,"254,582","251,105","261,933","267,785","293,718","304,324","309,773","290,580","258,493","226,797","204,492",,-19.7%,,-9.8%,
,,,,,,,,,,,,,,,,,
1 to 2 previous offences,,,,,,,,,,,,,,,,,
Proportion of offenders who re-offend (%),,25.5,25.3,25.1,24.5,25.1,25.0,24.9,23.7,22.7,21.5,20.9,,-4.6,pp,-0.6,pp
Average number of re-offences per re-offender,,2.68,2.68,2.61,2.59,2.49,2.46,2.38,2.27,2.23,2.21,2.22,,-17.0%,,0.4%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,23.3,23.2,22.9,23.2,23.3,23.3,23.2,22.8,22.1,21.3,20.3,,-,,-,
Average number of re-offences per offender (frequency rate),,0.68,0.68,0.65,0.63,0.63,0.62,0.59,0.54,0.51,0.48,0.46,,-31.9%,,-2.3%,
Number of re-offences,,"73,025","75,234","75,549","72,190","73,945","77,336","81,442","76,452","68,917","60,643","55,200",,-24.4%,,-9.0%,
Number of re-offenders,,"27,275","28,092","28,961","27,873","29,698","31,383","34,181","33,628","30,888","27,380","24,828",,-9.0%,,-9.3%,
Number of offenders in cohort,,"107,012","111,069","115,422","113,964","118,290","125,399","137,402","141,809","136,263","127,586","118,821",,11.0%,,-6.9%,
,,,,,,,,,,,,,,,,,
3 to 6 previous offences,,,,,,,,,,,,,,,,,
Proportion of offenders who re-offend (%),,32.1,32.4,31.5,30.0,30.9,30.6,30.5,30.2,29.7,28.4,28.0,,-4.1,pp,-0.4,pp
Average number of re-offences per re-offender,,3.17,3.17,3.03,2.98,2.86,2.83,2.75,2.62,2.51,2.48,2.44,,-22.9%,,-1.6%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,29.4,29.2,28.8,29.2,29.2,29.1,29.2,29.3,29.3,28.7,28.2,,-,,-,
Average number of re-offences per offender (frequency rate),,1.02,1.03,0.95,0.89,0.88,0.87,0.84,0.79,0.75,0.70,0.68,,-32.8%,,-2.9%,
Number of re-offences,,"82,649","87,040","83,748","77,569","79,209","81,742","84,890","83,810","77,617","71,248","67,027",,-18.9%,,-5.9%,
Number of re-offenders,,"26,107","27,459","27,622","26,070","27,672","28,912","30,900","31,939","30,940","28,716","27,459",,5.2%,,-4.4%,
Number of offenders in cohort,,"81,323","84,812","87,725","86,816","89,589","94,442","101,211","105,801","104,091","101,248","98,087",,20.6%,,-3.1%,
,,,,,,,,,,,,,,,,,
7 to 10 previous offences,,,,,,,,,,,,,,,,,
Proportion of offenders who re-offend (%),,37.7,38.6,37.2,35.0,35.3,35.3,35.4,35.6,34.8,33.7,33.3,,-4.4,pp,-0.5,pp
Average number of re-offences per re-offender,,3.48,3.53,3.36,3.19,3.12,3.01,2.97,2.84,2.66,2.66,2.67,,-23.2%,,0.4%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,34.2,34.4,33.8,34.3,34.5,34.5,34.7,35.1,35.2,34.6,34.3,,-,,-,
Average number of re-offences per offender (frequency rate),,1.31,1.36,1.25,1.12,1.10,1.06,1.05,1.01,0.93,0.90,0.89,,-32.2%,,-1.0%,
Number of re-offences,,"52,959","57,172","54,277","48,147","47,839","48,228","51,276","50,595","46,646","44,189","43,156",,-18.5%,,-2.3%,
Number of re-offenders,,"15,232","16,204","16,170","15,073","15,346","16,021","17,254","17,839","17,506","16,612","16,163",,6.1%,,-2.7%,
Number of offenders in cohort,,"40,407","42,012","43,414","43,019","43,488","45,433","48,672","50,053","50,330","49,243","48,600",,20.3%,,-1.3%,
,,,,,,,,,,,,,,,,,
11 or more previous offences,,,,,,,,,,,,,,,,,
Proportion of offenders who re-offend (%),,51.3,53.9,52.8,50.3,49.2,48.7,48.0,49.1,48.2,47.6,48.3,,-3.0,pp,0.7,pp
Average number of re-offences per re-offender,,4.32,4.53,4.34,4.06,3.86,3.73,3.67,3.68,3.53,3.45,3.53,,-18.1%,,2.3%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,44.6,45.5,45.4,47.1,48.2,48.2,48.5,49.1,49.6,49.0,49.1,,-,,-,
Average number of re-offences per offender (frequency rate),,2.21,2.44,2.29,2.04,1.90,1.81,1.76,1.80,1.71,1.64,1.71,,-22.9%,,3.8%,
Number of re-offences,,"295,867","349,486","344,788","306,724","285,721","279,997","279,526","298,970","284,513","266,808","277,041",,-6.4%,,3.8%,
Number of re-offenders,,"68,560","77,165","79,439","75,624","74,001","75,071","76,131","81,348","80,492","77,231","78,419",,14.4%,,1.5%,
Number of offenders in cohort,,"133,700","143,067","150,545","150,468","150,505","154,275","158,733","165,817","166,857","162,214","162,294",,21.4%,,0.0%,
,,,,,,,,,,,,,,,,,
All offenders,,,,,,,,,,,,,,,,,
Proportion of offenders who re-offend (%),,27.9,28.9,28.4,27.3,27.0,26.8,26.5,26.7,26.6,26.4,26.9,,-1.0,pp,0.5,pp
Average number of re-offences per re-offender,,3.37,3.51,3.38,3.21,3.04,2.96,2.90,2.89,2.82,2.82,2.88,,-14.5%,,2.4%,
Proportion of offenders who re-offend - Adjusted to baseline3 (%) (predicted rate),,25.5,25.9,25.7,26.2,25.9,25.8,26.0,26.5,27.1,27.0,27.2,,-,,-,
Average number of re-offences per offender (frequency rate),,0.94,1.01,0.96,0.88,0.82,0.79,0.77,0.77,0.75,0.74,0.78,,-17.5%,,4.3%,
Number of re-offences,,"579,770","641,321","633,331","580,919","571,002","573,480","581,490","583,541","538,713","496,141","490,346",,-15.4%,,-1.2%,
Number of re-offenders,,"171,935","182,485","187,342","180,796","187,539","193,656","200,585","201,572","190,745","176,053","169,991",,-1.1%,,-3.4%,
Number of offenders in cohort,,"617,024","632,065","659,039","662,052","695,590","723,873","755,791","754,060","716,034","667,088","632,294",,2.5%,,-5.2%,
1. Data are not available for 2001 due to a problem with archived data on Court Orders,,,,,,,,,,,,,,,,,
2. pp = percentage point and percentage changes may not add up due to rounding of raw figures,,,,,,,,,,,,,,,,,
3. See the definitions and measurement paper for an explanation on how to use and interpret the baseline rate,,,,,,,,,,,,,,,,,
