,,Income & Expenditure Statement - Total TNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,March 2012 (Q4) vs Prior Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Period From,2012001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Period To,2012003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Period End,2012012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A,D,,,,,,,,A,D,,,,B,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Month,,,,,,,,,Year to Date,,,,,Full Year,,,,,,,,,,,,,,,,,,,,,,,,,,,Comments,,,,
,,Actual,Prior Year,Under/(Overspend),,,,£'000s,,,Actual,Prior Year,Under/(Overspend),,,Budget,Under/(Overspend),,Under/(Overspend),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,£k,%,,,,,,,,£k,%,,,£k,%,£k,%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income,BAU,(601),(668),(67),-10%,,,Earned Income,,,"(7,049)","(7,002)",48,1%,,"(7,426)","(5,921)",-80%,"7,425",931202%,,-589.0,"Licencing (+£127k), Ancestors magazine (-£431k), Docs online (digitisation + £101k), Image Library (-£95k), reprographics (-£178k), IPS (-£15k), Car parking (-£44k), Kew shop (-£26k), Events income (£28k) ",,,,,,,,,,,,,,,,,,,,"Growth in 1911 sale income (419k -68%) Copyright royalties (79k-354%) & Licensing royalties (60k-11%).  Fall in Reprographics (119k -29%), Planets (91k -109%), DOL (82k -31%), Publishing (39k -92%)",,,,
Income,Funded,(191),(111),80,73%,,,Externally Funded Projects,,,"(1,272)","(2,234)",(961),-43%,,"(1,232)",(788),-64%,"1,231",192588%,,,"MPDP (£72k reduction - Cabinet office funding yet to be agreed), Digital Continuity (£349k) - project with stretch to Jun 11",,,,,,,,,,,,,,,,,,,,"New Heritage Lottery (105k0 and increased Conservation (60k - 300%), lower Dig. Continuity as project winds down (263k- 57%) and Civil Pages (325k -49%) as investment spend levels off.",,263,244,93%
Income,Inv Bids,0,0,--,0%,,,Investment Bids,,,(7),0,7,100%,,0,7,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(792),(778),13,2%,,,Income,,,"(8,329)","(9,236)",(907),-10%,,"(8,658)","(6,702)",-77%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Sales,BAU,19,24,5,-21%,,,Cost of Sales,,,411,371,(40),-11%,,381,318,83%,(381),-45611%,,,£421k Ancestors Magazine,,,,,,,,,,,,,,,,,,,,1911 sale commission up (114k) but fall in Publishing and magazine costs of 13k and 28k respectively as activities wound up,,,,
,,(773),(754),18,2%,,,Contribution,,,"(7,918)","(8,865)",(947),-11%,,"(8,277)","(6,384)",-77%,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Staff Costs,BAU,"1,739","1,833",94,5%,,,Staff costs,,,"21,654","21,877",223,1%,,"22,320","17,024",76%,"(22,320)",-2926301%,,,,,,,,,,,,,,,,,,,,,,,Impact of recruitment freeze,,"23,172",351,2%
,,604,606,2,0%,,,"BAU Headcount (FTE's, excluding agency staff) - average",,,557,563,(3),-0%,,646,646,100%,(645),-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
