"Table 3.5: Releases and recorded failures on temporary licence, by sex",,,,,,Contents
,,,,,,
,"Apr-Jun
2016","Jul-Sep 
2016",Oct-Dec 2016,Jan-Mar 2017,"Apr-Jun
2017","Percentage change
Apr-Jun
2016 to 2017"
Males and Females,,,,,,
,,,,,,
Incidences of release on temporary licence,"79,750","88,017","88,602","83,735 (r)","86,182",8%
Special Purpose Licence,"2,042","2,306","2,166","2,211","2,144",5%
Resettlement Day Release,"74,769","82,351","82,696","77,931 (r)","80,259",7%
Resettlement Overnight Release,"2,904","3,314","3,695","3,563","3,723",28%
Childcare Resettlement Licence,35,46,45,30,56,**
,,,,,,
"Individuals released on temporary licence (1,2)","3,685","3,879","3,985","4,019","4,023",9%
Determinate sentences,"2,880","3,067","3,175","3,253","3,275",14%
Indeterminate sentences,762,767,759,716,699,-8%
Imprisonment for public protection (IPP),364,359,338,287,289,-21%
Life sentence,398,408,421,429,410,3%
Recall,34,33,37,39,35,**
Other sentence type (3),8,12,14,9,12,**
Sentence type not recorded,1,0,0,2,2,**
,,,,,,
Recorded temporary release failures (4),86,68,63,50,90,5%
Determinate sentences,53 (r),52,51,37,67,2%
Indeterminate sentences,33 (r),16,12,13,23,**
Imprisonment for public protection (IPP),19 (r),10,9,8,11,**
Life sentence,14,6,3,5,12,**
,,,,,,
"Failures per 100,000 incidences of release",108,77,71,60,104,-3%
,,,,,,
,,,,,,
,,,,,,
,"Apr-Jun
2016","Jul-Sep 
2016",Oct-Dec 2016,Jan-Mar 2017,"Apr-Jun
2017","Percentage change
Apr-Jun
2016 to 2017"
Males,,,,,,
,,,,,,
Incidences of release on temporary licence,"71,992","79,969","81,200","76,804 (r)","79,266",10%
Special Purpose Licence,"1,786","2,036","1,949","1,971","1,982",11%
Resettlement Day Release,"67,500","74,829","75,753","71,478 (r)","73,772",9%
Resettlement Overnight Release,"2,706","3,104","3,498","3,354","3,512",30%
Childcare Resettlement Licence,0,0,0,1,0,-
,,,,,,
"Individuals released on temporary licence (1,2)","3,358","3,520","3,638","3,697","3,684",10%
Determinate sentences,"2,596","2,748","2,864","2,964","2,965",14%
Indeterminate sentences,723,730,726,686,672,-7%
Imprisonment for public protection (IPP),353,349,330,279,284,-20%
Life sentence,370,381,396,407,388,5%
Recall,31,31,35,37,34,**
Other sentence type (3),7,11,13,8,11,**
Sentence type not recorded,1,0,0,2,2,**
,,,,,,
Recorded temporary release failures (4),73,61,56,47,87,19%
Determinate sentences,44 (r),45,45,35,64,**
Indeterminate sentences,29 (r),16,11,12,23,**
Imprisonment for public protection (IPP),18 (r),10,8,8,11,**
Life sentence,11,6,3,4,12,**
,,,,,,
"Failures per 100,000 incidences of release",101,76,69,61,110,8%
,,,,,,
,,,,,,
,,,,,,
,"Apr-Jun
2016","Jul-Sep 
2016",Oct-Dec 2016,Jan-Mar 2017,"Apr-Jun
2017","Percentage change
Apr-Jun
2016 to 2017"
Females,,,,,,
,,,,,,
Incidences of release on temporary licence,"7,758","8,048","7,402","6,931","6,916",-11%
Special Purpose Licence,256,270,217,240,162,-37%
Resettlement Day Release,"7,269","7,522","6,943","6,453","6,487",-11%
Resettlement Overnight Release,198,210,197,209,211,7%
Childcare Resettlement Licence,35,46,45,29,56,**
,,,,,,
"Individuals released on temporary licence (1,2)",327,359,347,322,339,4%
Determinate sentences,284,319,311,289,310,9%
Indeterminate sentences,39,37,33,30,27,**
Imprisonment for public protection (IPP),11,10,8,8,5,**
Life sentence,28,27,25,22,22,**
Recall,3,2,2,2,1,**
Other sentence type (3),1,1,1,1,1,**
Sentence type not recorded,0,0,0,0,0,-
,,,,,,
Recorded temporary release failures (4),13,7,7,3,3,**
Determinate sentences,9,7,6,2,3,**
Indeterminate sentences,4,0,1,1,0,**
Imprisonment for public protection (IPP),1,0,1,0,0,**
Life sentence,3,0,0,1,0,**
,,,,,,
"Failures per 100,000 incidences of release",168,87,95,43,43,**
,,,,,,
,,,,,,
(1) Sentence type is based on the prisoner’s custody type at the point of their first ROTL of the quarter.,,,,,,
"(2) One individual may be released on temporary licence in more than one quarter of the year. Users should therefore not sum four quarters worth of data for the annual number of prisoners released on temporary licence. Annual figures are provided in the annual releases tables, typically published in April of each year.",,,,,,
,,,,,,
(3) The other sentence type category includes fine defaulters and non-criminal prisoners.,,,,,,
"(4) Not all temporary release failures are recorded on central administrative systems. Those that are not recorded centrally are more likely to be low-level failures including, for example, returning with unauthorised possessions and failing alcohol meter.",,,,,,
,,,,,,
"(r) Historical figures have been revised following a reconciliation exercise of temporary release failure data. Previous figures were based on data from different sources extracted at different times. While figures at the time of publication reflected the data extracted, further incidents and details may have been added since. Previous data from the various sources have been amalgamated and cleansed to form the main source of temporary release failure data.",,,,,,
,,,,,,
,,,,,,
(r) Incidences of release on temporary licence figures for Q1 2017 have been revised after 5 incidences of ROTL from Medway were incorrectly included.,,,,,,
