"Table 6:  Restricted patients admitted to hospital(1) in England and Wales  by type of hospital and sex, 2003 - 2016(2)",,,,,,,,,,,,,,Contents
,,,,,,,,,,,,,,
,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
All hospitals,,,,,,,,,,,,,,
All patients,"1,086","1,329","1,350","1,440","1,458","1,501","1,539","1,543","1,585","1,549","1,564","1,647","1,686","1,610"
Male,948,"1,218","1,213","1,279","1,296","1,321","1,331","1,324","1,360","1,366","1,380","1,468","1,489","1,430"
Female,138,111,137,161,162,180,208,219,225,183,184,179,197,180
,,,,,,,,,,,,,,
High secure hospital (3),,,,,,,,,,,,,,
All patients ,101,130,112,111,84,110,124,92,84,120,117,93,120,121
Male,90,123,104,107,81,109,119,88,79,114,114,90,114,117
Female,11,7,8,4,3,1,5,4,5,6,3,3,6,4
,,,,,,,,,,,,,,
Other hospitals,,,,,,,,,,,,,,
All patients,985,"1,199","1,238","1,329","1,374","1,391","1,415","1,451","1,501","1,429","1,447","1,554","1,566","1,489"
Male,858,"1,095","1,109","1,172","1,215","1,212","1,212","1,236","1,281","1,252","1,266","1,378","1,375","1,313"
Female,127,104,129,157,159,179,203,215,220,177,181,176,191,176
,,,,,,,,,,,,,,
"1) Where patients are admitted more than once, each admission is counted separately.",,,,,,,,,,,,,,
2) Admissions and recalls occurring in a calendar year,,,,,,,,,,,,,,
"3) High secure hospitals hold mentally disordered offenders detained under mental health legislation, who require treatment under conditions of high security because of their dangerous, violent or criminal propensities. There are three high secure hospitals: Ashworth, Broadmoor and Rampton. ""Other hospitals"" refers to any other psychiatric hospital in England and Wales, which admits mentally disordered offenders as well as other patients.",,,,,,,,,,,,,,
