Table 12: Self-inflicted deaths in prison custody1 by method,,,,,,,,,,,
England and Wales,,,,,,,,,Number of Deaths,,
METHOD,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007,2008.0,2009.0
,,,,,,,,,,,
MALES AND FEMALES,,,,,,,,,,,
All Methods,91.0,81.0,73.0,95.0,95.0,95.0,78.0,67.0,92,60.0,60.0
Cutting,2.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1,0.0,5.0
Food refusal,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
Hanging,86.0,72.0,65.0,89.0,83.0,86.0,68.0,59.0,84,57.0,51.0
Overdose,2.0,4.0,2.0,3.0,4.0,3.0,5.0,1.0,3,3.0,1.0
Self-strangulation,1.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,1,0.0,0.0
Other,0.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,3,0.0,1.0
,,,,,,,,,,,
MALES,,,,,,,,,,,
All methods,86.0,73.0,67.0,86.0,81.0,82.0,74.0,64.0,84,59.0,57.0
Cutting,2.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,1,0.0,4.0
Food refusal,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,2.0
Hanging,81.0,66.0,59.0,80.0,74.0,75.0,66.0,56.0,78,56.0,49.0
Overdose,2.0,4.0,2.0,3.0,2.0,3.0,4.0,1.0,2,3.0,1.0
Self-strangulation,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0,0.0,0.0
Other,0.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,3,0.0,1.0
,,,,,,,,,,,
FEMALES,,,,,,,,,,,
All methods,5.0,7.0,6.0,9.0,14.0,12.0,4.0,3.0,8,1.0,3.0
Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0
Food refusal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Hanging,5.0,6.0,6.0,9.0,9.0,11.0,2.0,3.0,6,1.0,2.0
Overdose,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1,0.0,0.0
Self-strangulation,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1,0.0,0.0
Other,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0
,,,,,,,,,,,
(1) Deaths in prison custody figures include all deaths of prisoners arising from incidents during prison custody.  They include deaths of prisoners while released on temporary license (ROTL) for medical reasons but exclude other types of ROTL where the state as less direct responsibility. Approximately one third of the deaths in prison custody shown here actually occur in hospitals or hospices.,,,,,,,,,,,
