Table SEND.5,,,,,,,
"Special Educational Needs: Appeals registered per local authority, 2007/08 to 2013/14",,,,,,,
Index,,,,,,,
,,,,,,,
Local Authority,1 September 2007 to 31 August 2008,1 September 2008 to 31 August 2009,1 September 2009 to 31 August 2010,1 September 2010 to 31 August 2011,1 September 2011 to 31 August 2012,1 September 2012 to 31 August 2013,1 September 2013 to 31 August 2014
,,,,,,,
NORTH EAST,87,77,60,84,87,98,102
Darlington,*,*,*,*,*,*,*
Durham,45,33,33,43,34,45,42
Gateshead,*,7,*,15,7,9,10
Hartlepool,*,*,*,*,*,*,*
Middlesbrough,14,*,5,*,*,*,*
Newcastle upon Tyne,*,*,*,*,*,*,*
North Tyneside,7,10,*,*,5,5,12
Northumberland,7,6,7,11,13,17,19
Redcar and Cleveland,*,*,*,*,*,*,*
South Tyneside,*,5,*,*,5,*,*
Stockton-on-Tees,6,6,*,*,10,*,11
Sunderland,*,*,*,*,*,12,8
,,,,,,,
NORTH WEST,272,239,274,318,303,356,422
Blackburn with Darwen,*,*,8,6,*,*,*
Blackpool,*,*,*,*,*,*,*
Bolton,6,7,9,*,*,*,*
Bury,7,5,7,*,5,*,9
Cheshire East,*,*,*,*,*,45,24
Cheshire West and Chester,*,*,*,*,*,19,15
Cheshire2,*,*,*,43,29,*,*
Cumbria,16,17,19,12,26,14,18
Halton,*,7,5,11,*,6,8
Knowsley,5,*,*,*,*,*,*
Lancashire,76,60,97,67,80,81,95
Liverpool,21,22,20,38,17,21,39
Manchester,41,39,19,26,28,36,48
Oldham,6,8,7,12,18,13,7
Rochdale,5,*,*,*,*,13,11
Salford,15,12,14,23,21,12,17
Sefton,12,12,12,15,14,16,15
St. Helens,*,*,*,*,*,*,7
Stockport,14,7,12,16,12,11,12
Tameside,12,10,10,7,8,16,11
Trafford,18,11,13,22,14,19,47
Warrington,*,*,*,*,7,5,7
Wigan,*,*,*,*,*,9,11
Wirral,6,5,11,*,9,10,21
,,,,,,,
YORKSHIRE AND THE HUMBER,236,169,189,217,167,188,241
Barnsley,10,10,6,16,8,16,25
Bradford,14,9,14,8,19,15,10
Calderdale,12,15,15,17,*,9,7
Doncaster,5,*,*,6,7,*,7
East Riding of Yorkshire,18,12,7,5,8,5,10
"Kingston Upon Hull, City of",12,9,*,6,16,16,10
Kirklees,16,10,10,12,12,11,21
Leeds,17,23,19,33,15,25,42
North East Lincolnshire,15,*,*,*,5,8,*
North Lincolnshire,*,*,*,*,*,*,*
North Yorkshire,27,17,22,18,7,16,21
Rotherham,22,11,11,*,5,*,*
Sheffield,55,40,68,79,54,55,82
Wakefield,7,5,*,6,*,*,6
York,*,*,*,*,*,*,*
,,,,,,,
EAST MIDLANDS,201,179,230,215,232,212,231
Derby,13,11,25,6,20,14,44
Derbyshire,19,22,32,46,57,28,37
Leicester,20,12,12,14,18,17,*
Leicestershire,33,30,19,29,23,44,34
Lincolnshire,69,47,68,33,27,27,25
Northamptonshire,12,17,17,24,36,36,30
Nottingham,9,7,18,11,19,17,18
Nottinghamshire,26,28,33,48,30,27,43
Rutland,*,5,6,*,*,*,*
,,,,,,,
WEST MIDLANDS,220,248,322,381,302,263,397
Birmingham,71,87,126,162,104,63,150
Coventry,5,*,10,8,6,10,11
Dudley,7,11,5,6,7,*,8
Herefordshire,8,11,9,8,9,5,11
Sandwell,9,5,9,19,12,13,19
Shropshire,16,15,12,17,*,22,10
Solihull,15,24,26,19,15,15,25
Staffordshire,20,31,37,49,49,50,56
Stoke-on-Trent,10,12,28,23,15,13,21
Telford and Wrekin,6,8,*,9,16,15,10
Walsall,10,*,9,9,8,6,20
Warwickshire,15,14,16,16,19,17,22
Wolverhampton,*,*,*,*,*,*,5
Worcestershire,25,23,30,33,38,30,29
,,,,,,,
EAST OF ENGLAND,468,360,464,448,500,474,468
Bedford,*,*,*,*,*,*,*
Central Bedfordshire,*,*,*,11,11,5,6
Bedfordshire1,*,*,*,*,*,5,*
Cambridgeshire,39,36,59,36,51,44,74
Essex,190,130,128,108,160,148,149
Hertfordshire,98,58,101,101,107,70,91
Luton,*,*,5,6,*,6,5
Norfolk,46,51,74,89,69,103,67
Peterborough,9,7,7,9,5,9,12
Southend-on-Sea,21,17,16,8,13,*,15
Suffolk,56,55,64,69,65,63,49
Thurrock,6,*,7,8,12,18,12
,,,,,,,
LONDON,767,691,740,861,945,913,913
INNER LONDON,291,266,304,306,352,382,373
Camden,25,11,16,16,16,17,15
City of London,*,*,*,*,*,*,*
Hackney,22,37,43,37,59,44,44
Hammersmith and Fulham,15,23,24,17,19,18,12
Haringey,28,21,20,28,26,27,35
